Dallas,Denver,time_rem
20-17,22-16,48M 0S
0,3,47M 36S
0,5,46M 59S
0,7,46M 29S
0,9,46M 8S
0,10,46M 8S
2,10,45M 33S
3,10,45M 33S
5,10,45M 5S
6,10,44M 28S
6,12,44M 14S
7,12,44M 5S
8,12,44M 5S
8,14,43M 35S
10,14,43M 20S
10,17,43M 8S
13,17,42M 56S
13,20,42M 14S
Jump ball: P. Millsap vs. D. Finney,Smith (N. Jokić gains possession),41M 46S
16,20,41M 19S
16,23,40M 20S
18,23,40M 0S
18,25,39M 35S
18,27,38M 33S
21,27,38M 13S
22,27,37M 36S
23,27,37M 36S
23,28,37M 24S
23,29,37M 24S
25,29,37M 1S
28,29,36M 37S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,29,35M 47S
32,29,35M 17S
32,32,35M 3S
34,32,34M 48S
36,32,33M 49S
36,34,33M 8S
39,34,32M 40S
42,34,32M 14S
42,36,31M 30S
44,36,30M 29S
44,38,30M 11S
46,38,29M 54S
46,40,29M 26S
48,40,28M 33S
48,42,28M 11S
48,43,28M 11S
51,43,27M 46S
53,43,27M 12S
53,46,26M 42S
55,46,26M 26S
55,47,26M 4S
55,48,26M 4S
58,48,25M 52S
58,49,25M 37S
60,49,25M 25S
60,51,24M 55S
62,51,24M 36S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
62,53,23M 24S
62,55,22M 54S
65,55,22M 38S
68,55,21M 24S
68,58,21M 2S
71,58,20M 27S
71,59,19M 50S
74,59,19M 35S
74,61,19M 20S
77,61,19M 15S
77,64,19M 0S
79,64,18M 46S
79,67,18M 24S
82,67,17M 0S
85,67,16M 9S
87,67,15M 40S
87,69,15M 0S
87,70,15M 0S
90,70,14M 37S
90,73,14M 25S
93,73,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
93,75,11M 17S
95,75,10M 51S
95,76,10M 37S
97,76,10M 32S
97,77,10M 14S
97,78,10M 14S
97,81,9M 56S
97,82,8M 59S
99,82,8M 22S
99,85,8M 12S
101,85,7M 34S
102,85,7M 34S
103,85,7M 9S
103,87,6M 56S
104,87,6M 44S
105,87,6M 44S
Jump ball: N. Jokić vs. K. Porziņģis (F. Campazzo gains possession),NA,6M 2S
105,90,5M 54S
105,93,5M 20S
106,93,5M 5S
107,93,5M 5S
107,95,4M 46S
109,95,4M 25S
111,95,3M 24S
111,97,3M 1S
114,97,2M 25S
114,100,1M 27S
114,103,1M 8S
115,103,1M 1S
116,103,1M 1S
End of 4th quarter,NA,0S
