Washington,Philadelphia,time_rem
1-4,4-1,48M 0S
0,0,47M 41S
2,0,47M 28S
2,2,47M 17S
4,2,46M 54S
6,2,46M 32S
6,4,46M 16S
7,4,46M 4S
8,4,46M 4S
8,6,45M 53S
10,6,45M 43S
12,6,44M 46S
12,8,44M 19S
12,11,43M 52S
14,11,43M 34S
14,13,43M 18S
16,13,42M 58S
16,15,42M 30S
18,15,42M 17S
18,17,41M 47S
19,17,41M 29S
20,17,41M 29S
22,17,40M 59S
24,17,40M 35S
24,19,40M 19S
24,20,39M 41S
27,20,39M 15S
27,22,38M 24S
27,23,38M 5S
27,24,37M 34S
27,25,37M 34S
29,25,37M 23S
29,27,36M 40S
29,29,36M 16S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,29,34M 48S
31,30,34M 37S
31,31,34M 37S
32,31,34M 27S
33,31,33M 53S
34,31,33M 53S
34,33,33M 35S
36,33,33M 12S
36,35,32M 46S
37,35,32M 31S
38,35,32M 31S
38,37,32M 12S
40,37,31M 54S
40,39,31M 0S
42,39,30M 35S
42,40,30M 23S
42,41,30M 23S
45,41,29M 42S
45,44,29M 7S
48,44,28M 39S
48,46,28M 30S
50,46,27M 57S
50,47,27M 27S
51,47,27M 7S
51,48,27M 5S
51,49,27M 5S
53,49,26M 49S
53,51,26M 34S
54,51,26M 25S
55,51,26M 25S
55,52,26M 8S
55,53,26M 8S
57,53,25M 52S
57,55,25M 30S
57,58,25M 7S
58,58,24M 55S
59,58,24M 55S
59,59,24M 48S
59,60,24M 48S
59,62,24M 42S
60,62,24M 35S
61,62,24M 35S
62,62,24M 26S
63,62,24M 26S
63,65,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
66,65,22M 55S
66,67,22M 40S
68,67,22M 21S
68,70,21M 34S
70,70,21M 12S
70,72,21M 3S
73,72,20M 37S
73,74,20M 13S
73,75,19M 51S
73,76,19M 51S
73,77,19M 51S
76,77,19M 13S
76,80,18M 54S
78,80,18M 38S
78,82,18M 22S
78,83,18M 22S
79,83,18M 7S
80,83,18M 7S
80,86,17M 50S
80,87,17M 34S
83,87,17M 11S
83,89,16M 59S
85,89,16M 10S
85,90,15M 55S
85,92,15M 23S
85,93,14M 48S
87,93,14M 32S
87,94,14M 13S
87,95,14M 13S
87,96,13M 39S
87,98,13M 5S
89,98,12M 54S
89,100,12M 33S
92,100,12M 29S
92,103,12M 11S
94,103,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
95,103,11M 17S
95,106,11M 8S
95,108,10M 35S
97,108,10M 19S
97,109,10M 2S
97,110,10M 2S
99,110,8M 49S
99,111,8M 22S
99,112,8M 22S
100,112,8M 14S
100,114,7M 1S
100,116,6M 36S
100,117,5M 55S
100,118,5M 55S
101,118,5M 39S
101,120,5M 14S
101,122,4M 13S
102,122,4M 5S
103,122,4M 5S
105,122,3M 32S
105,123,3M 16S
105,124,3M 16S
105,126,2M 37S
107,126,2M 18S
107,128,1M 55S
109,128,1M 49S
109,129,1M 31S
111,129,1M 14S
112,129,44S
End of 4th quarter,NA,0S
