Boston,Philadelphia,time_rem
8-6,11-5,48M 0S
0,2,47M 36S
3,2,47M 13S
3,4,46M 52S
3,6,46M 9S
5,6,45M 45S
5,7,45M 26S
8,7,45M 17S
8,9,45M 5S
10,9,44M 52S
10,12,44M 23S
10,14,44M 7S
10,16,43M 29S
12,16,43M 18S
14,16,42M 50S
15,16,42M 50S
15,19,42M 29S
17,19,42M 16S
17,21,42M 4S
19,21,40M 43S
20,21,40M 11S
21,21,40M 11S
21,23,39M 21S
23,23,39M 6S
25,23,38M 39S
28,23,37M 37S
31,23,36M 52S
33,23,36M 40S
33,25,36M 26S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,27,34M 40S
35,27,34M 16S
35,29,33M 48S
37,29,31M 47S
37,31,31M 26S
37,33,30M 47S
37,35,30M 12S
39,35,29M 42S
39,37,29M 26S
42,37,29M 8S
44,37,28M 41S
44,39,28M 24S
44,40,27M 42S
44,41,27M 42S
47,41,27M 24S
47,43,27M 5S
47,44,27M 5S
47,46,25M 58S
49,46,25M 8S
49,49,24M 52S
52,49,24M 35S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
53,49,23M 44S
54,49,23M 44S
54,52,23M 27S
54,55,23M 5S
56,55,22M 50S
56,57,22M 12S
58,57,21M 45S
58,59,21M 23S
60,59,21M 5S
62,59,20M 32S
64,59,20M 16S
64,60,19M 56S
64,61,19M 56S
66,61,19M 35S
66,63,19M 23S
68,63,19M 19S
69,63,19M 19S
69,65,18M 52S
69,67,18M 31S
69,68,18M 31S
69,69,17M 25S
69,70,17M 25S
69,71,17M 25S
69,74,16M 51S
71,74,16M 39S
72,74,16M 39S
73,74,16M 39S
73,76,16M 20S
73,77,15M 26S
73,78,15M 26S
73,80,14M 54S
74,80,14M 21S
75,80,14M 21S
75,81,14M 9S
75,82,14M 9S
78,82,13M 56S
78,85,13M 34S
79,85,13M 23S
79,88,13M 11S
79,90,12M 54S
80,90,12M 44S
80,91,12M 26S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
80,94,11M 49S
82,94,11M 32S
85,94,10M 4S
85,97,9M 22S
87,97,8M 48S
87,99,8M 22S
Jump ball: S. Milton vs. M. Smart (B. Simmons gains possession),NA,8M 5S
89,99,7M 54S
89,101,7M 45S
92,101,7M 30S
94,101,7M 6S
96,101,6M 29S
97,101,5M 36S
97,103,4M 54S
100,103,4M 44S
100,105,4M 32S
100,106,4M 32S
100,108,4M 18S
100,111,3M 49S
100,113,3M 15S
101,113,3M 5S
102,113,3M 5S
102,114,2M 47S
102,115,2M 47S
102,117,2M 22S
103,117,2M 14S
105,117,2M 0S
105,118,1M 42S
105,119,1M 42S
108,119,1M 39S
110,119,1M 7S
110,122,48S
End of 4th quarter,NA,0S
