New Orleans,LA Clippers,time_rem
4-6,8-4,48M 0S
2,0,47M 46S
4,0,47M 4S
4,2,46M 45S
6,2,46M 1S
6,4,45M 50S
8,4,45M 31S
8,7,45M 13S
8,10,44M 50S
8,11,43M 19S
8,12,43M 19S
10,12,43M 2S
11,12,43M 2S
11,13,42M 50S
11,14,42M 50S
12,14,42M 28S
13,14,42M 28S
15,14,41M 56S
15,17,41M 41S
18,17,40M 55S
18,20,40M 28S
20,20,40M 6S
22,20,39M 36S
24,20,38M 57S
26,20,38M 20S
26,23,37M 55S
26,26,37M 13S
28,26,36M 52S
28,28,36M 27S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,29,35M 28S
28,30,35M 28S
28,32,34M 51S
31,32,34M 33S
31,33,34M 23S
31,34,34M 23S
33,34,33M 54S
33,36,33M 16S
33,37,32M 55S
33,38,32M 55S
36,38,32M 1S
36,40,31M 13S
39,40,30M 11S
39,43,28M 1S
39,44,27M 29S
39,45,27M 29S
39,48,26M 59S
39,51,26M 26S
39,53,25M 55S
41,53,25M 42S
41,54,25M 24S
41,55,25M 24S
41,58,24M 56S
42,58,24M 42S
43,58,24M 42S
43,61,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
44,61,23M 40S
45,61,23M 40S
47,61,22M 51S
47,64,22M 31S
50,64,22M 4S
52,64,21M 35S
53,64,21M 35S
53,65,20M 55S
55,65,20M 44S
55,67,20M 29S
55,68,20M 29S
57,68,20M 17S
57,70,19M 3S
60,70,18M 39S
60,73,17M 49S
62,73,16M 50S
62,75,16M 8S
64,75,15M 42S
67,75,15M 6S
67,77,14M 50S
67,78,14M 50S
69,78,14M 31S
69,79,14M 13S
71,79,13M 31S
71,82,13M 14S
71,83,12M 34S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
72,83,11M 39S
73,83,11M 39S
74,83,11M 39S
74,85,11M 25S
77,85,10M 57S
79,85,10M 12S
79,87,9M 58S
81,87,9M 18S
83,87,8M 49S
83,89,8M 33S
85,89,8M 11S
85,92,7M 23S
85,93,6M 28S
85,94,6M 28S
87,94,5M 39S
87,97,5M 16S
89,97,5M 1S
89,99,4M 48S
89,100,4M 48S
91,100,4M 27S
91,102,4M 8S
93,102,3M 54S
96,102,3M 24S
96,105,3M 0S
98,105,2M 50S
98,108,2M 5S
98,110,1M 46S
101,110,1M 42S
102,110,1M 42S
104,110,1M 13S
104,111,12S
106,111,0S
End of 4th quarter,NA,0S
