Utah,Denver,time_rem
9-4,6-7,48M 0S
2,0,47M 47S
2,3,47M 23S
5,3,46M 21S
5,5,45M 32S
7,5,45M 14S
7,7,44M 58S
10,7,44M 55S
12,7,44M 27S
15,7,43M 51S
17,7,43M 21S
17,10,43M 1S
18,10,42M 0S
18,12,41M 48S
18,14,41M 4S
18,16,40M 35S
20,16,40M 6S
20,19,39M 40S
23,19,39M 16S
26,19,38M 41S
26,21,38M 23S
26,23,37M 41S
26,26,37M 9S
29,26,36M 52S
29,27,36M 35S
29,28,36M 35S
32,28,36M 25S
32,31,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,33,35M 45S
34,33,35M 29S
36,33,34M 9S
39,33,33M 43S
42,33,33M 18S
42,36,32M 52S
44,36,32M 31S
44,39,32M 17S
46,39,31M 33S
46,41,30M 55S
46,43,29M 59S
46,44,29M 11S
46,45,29M 11S
49,45,29M 2S
50,45,29M 2S
50,47,28M 48S
50,48,28M 14S
50,50,27M 1S
50,53,26M 2S
50,54,26M 2S
53,54,24M 45S
53,57,24M 33S
53,58,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
53,61,22M 31S
56,61,22M 21S
59,61,20M 24S
61,61,19M 51S
62,61,19M 51S
62,63,19M 39S
62,65,19M 7S
64,65,18M 43S
64,67,18M 15S
64,69,17M 6S
66,69,16M 59S
67,69,16M 59S
67,72,16M 49S
69,72,16M 37S
71,72,15M 12S
72,72,14M 42S
73,72,14M 42S
74,72,14M 42S
74,73,14M 29S
74,74,14M 29S
77,74,13M 25S
77,76,13M 8S
79,76,12M 47S
80,76,12M 47S
80,79,12M 34S
81,79,12M 10S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
83,79,11M 41S
85,79,11M 2S
86,79,10M 46S
87,79,10M 46S
87,81,10M 33S
87,83,9M 21S
88,83,9M 9S
89,83,9M 9S
89,85,8M 30S
89,86,8M 2S
89,88,7M 27S
Jump ball: D. Favors vs. P. Dozier (B. Bogdanović gains possession),NA,6M 47S
92,88,6M 14S
92,90,5M 44S
94,90,5M 18S
94,92,4M 44S
96,92,4M 30S
97,92,4M 30S
99,92,3M 52S
99,94,3M 17S
101,94,3M 1S
101,95,2M 51S
103,95,2M 25S
103,97,2M 12S
103,99,1M 42S
103,102,1M 19S
105,102,1M 1S
106,102,22S
107,102,22S
107,105,7S
109,105,1S
End of 4th quarter,NA,0S
