Atlanta,San Antonio,time_rem
24-24,24-22,48M 0S
2,0,47M 40S
2,2,47M 24S
5,2,47M 12S
5,4,45M 58S
7,4,45M 45S
7,7,45M 31S
9,7,45M 19S
9,9,44M 55S
9,10,44M 42S
9,11,44M 42S
11,11,44M 30S
13,11,44M 0S
13,14,43M 11S
13,16,42M 38S
15,16,42M 10S
15,19,41M 58S
16,19,41M 23S
17,19,41M 23S
18,19,40M 59S
19,19,40M 59S
21,19,40M 21S
21,21,40M 0S
23,21,38M 55S
25,21,38M 33S
26,21,38M 6S
27,21,38M 6S
29,21,37M 15S
29,22,37M 2S
32,22,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,25,35M 7S
32,28,34M 41S
32,30,33M 53S
34,30,33M 39S
36,30,32M 22S
38,30,31M 42S
38,32,31M 23S
40,32,31M 12S
40,34,30M 50S
42,34,30M 35S
42,36,30M 19S
44,36,29M 41S
44,38,29M 6S
44,39,29M 6S
45,39,28M 11S
46,39,28M 11S
46,41,27M 56S
48,41,27M 21S
50,41,26M 55S
50,42,26M 41S
52,42,26M 21S
52,44,25M 58S
52,46,25M 25S
54,46,24M 42S
54,48,24M 30S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,50,23M 47S
54,51,23M 47S
57,51,23M 32S
57,53,22M 55S
60,53,22M 25S
60,55,21M 21S
63,55,21M 6S
66,55,20M 32S
66,57,20M 14S
66,58,20M 14S
66,59,19M 50S
Jump ball: C. Capela vs. J. Poeltl (T. Snell gains possession),NA,19M 36S
68,59,19M 28S
68,62,18M 49S
69,62,18M 35S
70,62,18M 35S
72,62,17M 46S
72,64,17M 33S
72,65,17M 2S
72,68,16M 11S
73,68,15M 29S
73,70,15M 17S
75,70,15M 1S
76,70,14M 6S
77,70,14M 6S
77,72,13M 46S
79,72,13M 30S
79,75,13M 11S
81,75,12M 55S
81,77,12M 42S
81,78,12M 42S
84,78,12M 34S
84,80,12M 28S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,80,11M 45S
86,82,11M 30S
88,82,11M 16S
88,84,10M 55S
89,84,10M 13S
90,84,10M 13S
90,87,10M 1S
90,89,9M 27S
93,89,9M 9S
93,91,8M 28S
96,91,8M 9S
96,94,7M 21S
98,94,7M 1S
98,97,6M 18S
99,97,5M 58S
100,97,5M 58S
100,99,5M 19S
102,99,5M 0S
102,101,3M 58S
104,101,3M 34S
107,101,2M 52S
107,102,2M 4S
107,103,2M 4S
107,105,1M 0S
108,105,39S
109,105,39S
109,107,15S
109,108,15S
110,108,11S
110,110,2S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: C. Capela vs. J. Poeltl (D. Murray gains possession),NA,5M 0S
110,112,3M 16S
112,112,2M 52S
115,112,2M 5S
115,114,1M 53S
117,114,1M 40S
117,115,1M 28S
117,116,1M 28S
119,116,1M 5S
119,119,59S
End of 1st overtime,NA,0S
Start of 2nd overtime,NA,5M 0S
Jump ball: C. Capela vs. J. Poeltl (R. Gay gains possession),NA,5M 0S
121,119,4M 21S
121,121,3M 59S
121,122,3M 59S
123,122,3M 45S
125,122,3M 4S
125,124,2M 41S
128,124,1M 54S
130,124,1M 18S
130,125,1M 7S
130,126,1M 7S
130,129,33S
133,129,11S
134,129,8S
End of 2nd overtime,NA,0S
