Golden State,Brooklyn,time_rem
0-1,1-0,48M 0S
0,0,47M 50S
1,0,47M 38S
2,0,47M 38S
2,2,47M 22S
4,2,47M 11S
4,5,46M 49S
4,7,46M 23S
4,10,46M 9S
6,10,45M 38S
6,12,44M 46S
6,13,44M 46S
7,13,44M 30S
8,13,44M 30S
8,16,44M 7S
8,18,43M 20S
8,20,42M 58S
9,20,42M 40S
9,23,42M 23S
11,23,41M 17S
11,26,41M 3S
13,26,40M 52S
13,28,40M 41S
Jump ball: K. Bazemore vs. K. Durant (K. Oubre gains possession),NA,40M 28S
15,28,39M 52S
17,28,39M 36S
17,29,38M 51S
17,30,38M 51S
17,33,38M 42S
17,36,38M 29S
17,37,37M 25S
17,38,37M 25S
19,38,37M 17S
19,40,36M 59S
22,40,36M 52S
25,40,36M 23S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,42,35M 14S
25,44,34M 39S
26,44,34M 21S
28,44,33M 53S
30,44,32M 57S
30,47,32M 25S
30,48,32M 12S
30,49,31M 48S
30,50,31M 48S
33,50,29M 44S
35,50,28M 57S
35,52,28M 35S
35,54,27M 52S
37,54,27M 40S
37,56,27M 18S
39,56,27M 7S
39,58,26M 53S
42,58,26M 29S
42,60,24M 53S
43,60,24M 44S
45,60,24M 12S
45,63,24M 4S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
45,65,23M 34S
45,66,23M 17S
45,67,23M 17S
45,68,22M 51S
45,69,22M 51S
47,69,22M 34S
48,69,22M 13S
49,69,22M 13S
49,71,22M 0S
49,72,21M 36S
49,73,21M 36S
49,75,20M 59S
49,77,20M 30S
49,80,19M 24S
52,80,19M 6S
54,80,18M 40S
54,82,18M 22S
56,82,18M 13S
56,84,17M 40S
57,84,17M 35S
58,84,17M 35S
58,85,17M 22S
58,86,17M 22S
58,87,17M 0S
60,87,16M 49S
60,89,16M 38S
60,90,16M 24S
60,91,15M 58S
60,92,15M 58S
60,95,15M 17S
62,95,15M 2S
64,95,14M 39S
66,95,14M 11S
69,95,13M 44S
69,98,13M 7S
69,99,12M 46S
71,99,12M 33S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
71,101,11M 39S
73,101,11M 8S
73,103,10M 59S
73,104,10M 59S
74,104,10M 3S
75,104,10M 3S
77,104,8M 57S
77,107,8M 45S
77,109,8M 15S
77,110,7M 46S
77,111,7M 46S
78,111,7M 31S
78,112,6M 36S
78,113,6M 36S
78,116,6M 9S
81,116,5M 35S
83,116,5M 5S
84,116,4M 45S
84,118,4M 16S
87,118,4M 2S
89,118,3M 37S
91,118,3M 13S
91,120,2M 47S
94,120,2M 33S
96,120,1M 54S
96,123,1M 21S
96,125,47S
99,125,7S
End of 4th quarter,NA,0S
