Indiana,San Antonio,time_rem
22-26,24-23,48M 0S
0,0,47M 44S
2,0,47M 5S
4,0,46M 38S
4,2,46M 15S
6,2,46M 5S
6,4,45M 39S
6,6,45M 20S
8,6,44M 59S
8,8,44M 6S
10,8,43M 57S
10,9,43M 48S
10,10,43M 48S
10,12,42M 42S
12,12,42M 25S
12,13,42M 9S
12,14,42M 9S
14,14,41M 55S
14,16,41M 42S
14,18,41M 12S
14,21,40M 47S
16,21,40M 27S
16,24,40M 8S
16,25,39M 42S
16,26,39M 42S
17,26,39M 31S
18,26,39M 31S
18,28,39M 21S
20,28,39M 13S
22,28,38M 44S
24,28,38M 13S
25,28,37M 41S
28,28,37M 10S
28,31,36M 51S
29,31,36M 43S
30,31,36M 43S
30,32,36M 30S
30,33,36M 30S
32,33,36M 17S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,36,35M 2S
35,36,34M 53S
35,39,34M 25S
37,39,34M 9S
39,39,33M 34S
41,39,32M 49S
41,41,32M 25S
43,41,31M 50S
43,43,31M 20S
45,43,30M 51S
47,43,30M 19S
47,45,29M 56S
47,46,29M 16S
50,46,28M 56S
52,46,28M 38S
54,46,28M 6S
55,46,27M 24S
56,46,27M 24S
56,48,27M 6S
56,50,26M 33S
59,50,25M 46S
59,53,25M 29S
61,53,25M 24S
62,53,25M 24S
62,54,25M 7S
62,55,25M 7S
62,57,24M 38S
65,57,24M 32S
65,59,24M 4S
67,59,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
70,59,23M 38S
70,62,23M 13S
72,62,22M 28S
72,64,22M 13S
72,66,21M 52S
72,67,21M 52S
72,69,21M 33S
72,70,21M 33S
72,72,20M 44S
74,72,20M 7S
74,74,19M 43S
76,74,19M 31S
76,75,18M 58S
76,76,18M 58S
76,78,18M 33S
78,78,18M 20S
78,80,18M 4S
79,80,17M 56S
80,80,17M 56S
80,82,17M 41S
80,84,16M 50S
80,85,16M 50S
80,86,16M 50S
80,88,16M 30S
80,89,16M 30S
80,91,16M 5S
82,91,15M 50S
85,91,15M 24S
85,93,15M 4S
88,93,14M 57S
88,94,14M 45S
88,97,14M 39S
90,97,13M 43S
93,97,12M 46S
96,97,12M 29S
97,97,12M 3S
98,97,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
98,99,11M 29S
99,99,11M 4S
100,99,11M 4S
102,99,10M 34S
102,100,10M 18S
102,101,10M 18S
105,101,9M 57S
107,101,9M 34S
107,103,9M 21S
108,103,9M 5S
109,103,9M 5S
109,106,8M 47S
111,106,8M 2S
111,108,7M 38S
113,108,6M 20S
115,108,5M 44S
115,110,5M 18S
115,111,5M 18S
116,111,5M 8S
117,111,5M 8S
117,113,4M 44S
119,113,4M 29S
119,115,4M 11S
122,115,3M 53S
Jump ball: R. Gay vs. C. LeVert (D. DeRozan gains possession),NA,3M 26S
122,118,3M 20S
124,118,2M 55S
124,120,2M 40S
Jump ball: K. Johnson vs. C. LeVert (D. DeRozan gains possession),NA,2M 16S
124,121,2M 6S
126,121,1M 45S
126,123,1M 30S
126,124,50S
126,125,50S
126,126,29S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: M. Turner vs. J. Poeltl (J. Holiday gains possession),NA,5M 0S
126,128,4M 32S
128,128,4M 20S
128,130,3M 59S
130,130,3M 46S
130,131,2M 47S
132,131,2M 32S
133,131,1M 55S
134,131,1M 23S
135,131,1M 23S
135,133,1M 12S
137,133,17S
138,133,11S
139,133,11S
End of 1st overtime,NA,0S
