Cleveland,Washington,time_rem
21-39,27-33,48M 0S
0,0,47M 44S
2,0,47M 2S
2,2,46M 49S
4,2,46M 31S
7,2,45M 41S
7,5,45M 2S
9,5,44M 48S
9,7,44M 39S
9,9,43M 53S
12,9,43M 40S
12,12,43M 28S
14,12,43M 7S
15,12,42M 45S
16,12,42M 45S
18,12,42M 17S
18,13,42M 2S
18,14,42M 2S
18,16,41M 29S
20,16,41M 10S
23,16,40M 44S
23,18,40M 27S
23,19,40M 27S
25,19,40M 12S
25,21,39M 58S
25,23,39M 28S
25,25,38M 56S
28,25,38M 44S
28,27,38M 30S
Jump ball: L. Nance vs. D. Bertāns (I. Hartenstein gains possession),NA,38M 18S
30,27,36M 36S
32,27,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,30,35M 6S
34,30,34M 51S
34,31,34M 21S
36,31,34M 1S
36,33,33M 54S
37,33,33M 12S
37,35,32M 58S
37,38,32M 35S
39,38,32M 18S
39,40,32M 1S
39,42,31M 38S
41,42,30M 57S
41,45,30M 41S
43,45,30M 23S
43,47,30M 1S
44,47,29M 48S
45,47,29M 48S
46,47,29M 31S
47,47,29M 31S
49,47,29M 15S
49,49,28M 51S
49,51,28M 16S
49,52,28M 2S
49,53,28M 2S
50,53,27M 52S
51,53,27M 52S
51,54,27M 39S
51,55,27M 39S
53,55,27M 12S
53,57,26M 58S
55,57,26M 33S
55,59,26M 14S
58,59,25M 58S
58,60,25M 7S
58,61,25M 7S
59,61,24M 57S
60,61,24M 57S
60,63,24M 44S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
63,63,23M 33S
65,63,23M 2S
65,65,22M 25S
68,65,22M 1S
68,68,21M 42S
69,68,21M 15S
69,71,21M 2S
72,71,20M 41S
74,71,20M 15S
77,71,19M 33S
78,71,18M 47S
79,71,18M 47S
79,74,18M 39S
79,76,17M 56S
82,76,17M 34S
82,78,17M 14S
84,78,17M 0S
84,80,16M 36S
86,80,16M 2S
87,80,16M 2S
87,81,15M 2S
87,82,15M 2S
89,82,14M 45S
89,85,14M 29S
91,85,13M 19S
91,87,12M 45S
93,87,12M 22S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
95,87,11M 39S
95,89,10M 28S
95,90,10M 28S
97,90,10M 8S
97,93,9M 21S
97,94,8M 14S
97,95,8M 14S
97,96,7M 46S
97,97,7M 46S
98,97,7M 34S
99,97,7M 34S
101,97,6M 41S
101,98,6M 33S
101,101,6M 5S
103,101,5M 40S
103,103,5M 17S
104,103,5M 5S
105,103,5M 5S
105,105,4M 55S
105,108,4M 2S
107,108,3M 28S
108,108,2M 45S
108,110,2M 11S
108,112,1M 44S
108,114,1M 13S
108,116,44S
108,117,23S
110,117,18S
110,118,11S
110,119,11S
End of 4th quarter,NA,0S
