Oklahoma City,LA Lakers,time_rem
10-13,19-6,48M 0S
0,0,47M 38S
0,1,47M 19S
0,2,47M 19S
3,2,46M 33S
5,2,45M 38S
5,3,45M 34S
5,5,45M 9S
7,5,44M 51S
7,7,44M 46S
9,7,44M 33S
11,7,44M 7S
14,7,43M 47S
14,9,43M 37S
16,9,43M 17S
16,10,43M 5S
18,10,42M 32S
20,10,42M 3S
20,11,41M 30S
20,12,41M 30S
20,13,41M 30S
22,13,41M 9S
22,15,40M 32S
22,18,39M 37S
25,18,39M 15S
27,18,38M 45S
27,20,38M 32S
29,20,38M 20S
29,22,37M 20S
30,22,37M 14S
31,22,37M 14S
33,22,36M 50S
33,23,36M 41S
33,24,36M 41S
33,26,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,28,35M 27S
36,28,35M 13S
36,30,34M 25S
36,32,34M 0S
38,32,33M 44S
38,34,33M 31S
40,34,33M 18S
40,35,32M 34S
40,36,32M 34S
42,36,32M 13S
42,39,32M 0S
42,42,31M 41S
44,42,31M 30S
45,42,31M 30S
45,44,30M 46S
47,44,30M 34S
47,47,30M 27S
48,47,29M 45S
49,47,29M 45S
51,47,29M 22S
51,48,29M 3S
51,49,29M 3S
53,49,28M 45S
53,50,28M 25S
53,51,27M 50S
53,52,27M 50S
55,52,26M 50S
56,52,26M 25S
58,52,25M 12S
58,54,24M 31S
60,54,24M 7S
60,56,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,58,23M 19S
62,58,22M 31S
62,59,21M 55S
62,61,21M 28S
62,63,21M 8S
62,66,20M 47S
63,66,18M 33S
63,68,18M 24S
63,70,17M 38S
65,70,17M 29S
68,70,16M 54S
68,72,16M 41S
68,74,16M 17S
70,74,16M 3S
72,74,15M 23S
75,74,14M 45S
78,74,13M 39S
80,74,13M 18S
82,74,12M 39S
82,76,12M 27S
83,76,12M 12S
84,76,12M 12S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
84,77,11M 27S
84,79,11M 14S
87,79,10M 58S
90,79,10M 26S
90,81,10M 0S
90,84,9M 29S
92,84,8M 45S
92,86,8M 17S
92,87,8M 17S
94,87,8M 1S
94,89,7M 12S
95,89,6M 58S
96,89,6M 58S
96,91,6M 46S
98,91,6M 33S
98,93,5M 55S
98,94,5M 19S
98,95,5M 19S
98,97,4M 51S
101,97,3M 56S
101,99,3M 31S
104,99,3M 15S
104,102,2M 31S
107,102,2M 8S
107,105,1M 33S
107,107,1M 13S
107,109,34S
107,110,15S
Jump ball: D. Bazley vs. L. James (S. Gilgeous,Alexander gains possession),6S
108,110,1S
109,110,1S
110,110,1S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: D. Bazley vs. M. Harrell (S. Gilgeous,Alexander gains possession),5M 0S
110,112,4M 25S
110,114,2M 59S
110,117,1M 59S
112,117,1M 42S
112,119,1M 29S
End of 1st overtime,NA,0S
