Utah,Denver,time_rem
15-5,12-8,48M 0S
0,2,47M 37S
0,5,46M 52S
3,5,46M 38S
3,8,46M 11S
6,8,45M 55S
9,8,45M 23S
9,11,45M 5S
9,14,44M 37S
11,14,44M 19S
11,16,43M 56S
12,16,43M 26S
13,16,43M 26S
13,18,43M 11S
13,21,42M 45S
13,23,42M 14S
13,25,41M 51S
13,26,41M 26S
16,26,41M 5S
19,26,40M 14S
19,29,39M 51S
19,31,39M 31S
20,31,39M 15S
21,31,39M 15S
21,34,38M 54S
23,34,38M 34S
23,36,37M 45S
26,36,37M 8S
26,38,36M 55S
26,39,36M 40S
26,40,36M 40S
28,40,36M 32S
28,43,36M 11S
29,43,36M 9S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,45,35M 12S
29,48,34M 50S
32,48,34M 16S
32,49,33M 52S
32,52,33M 2S
32,54,32M 34S
35,54,32M 12S
37,54,31M 53S
39,54,31M 21S
39,57,31M 1S
39,59,29M 19S
39,61,29M 8S
40,61,28M 51S
41,61,28M 51S
42,61,28M 28S
43,61,28M 28S
43,64,28M 14S
45,64,28M 4S
45,66,27M 43S
48,66,27M 29S
49,66,26M 54S
50,66,26M 54S
50,69,26M 46S
50,72,26M 17S
52,72,25M 58S
52,75,25M 44S
52,77,25M 0S
52,78,24M 29S
52,79,24M 29S
53,79,24M 11S
54,79,24M 11S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,79,22M 39S
56,80,22M 31S
57,80,21M 14S
58,80,21M 14S
58,82,20M 59S
58,84,20M 32S
58,86,20M 11S
61,86,19M 58S
61,88,19M 43S
62,88,19M 16S
63,88,19M 16S
64,88,19M 16S
67,88,18M 45S
70,88,18M 6S
70,90,17M 30S
73,90,16M 38S
76,90,16M 9S
76,91,15M 49S
76,92,15M 49S
78,92,15M 39S
79,92,15M 39S
79,93,15M 25S
79,94,15M 25S
82,94,15M 11S
83,94,14M 40S
84,94,14M 40S
84,97,14M 25S
85,97,13M 57S
88,97,13M 32S
88,98,13M 15S
88,99,13M 15S
91,99,13M 0S
91,101,12M 39S
91,102,12M 33S
91,103,12M 33S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
91,106,11M 43S
93,106,11M 28S
93,108,11M 11S
94,108,10M 50S
95,108,10M 50S
95,110,10M 34S
96,110,10M 23S
96,113,10M 11S
96,115,9M 40S
97,115,9M 22S
100,115,8M 37S
100,117,7M 42S
101,117,6M 27S
102,117,6M 27S
102,119,6M 9S
104,119,5M 49S
104,121,5M 27S
104,122,5M 3S
104,124,4M 45S
105,124,3M 56S
105,126,3M 37S
108,126,3M 23S
110,126,2M 44S
110,128,2M 5S
113,128,1M 5S
114,128,32S
115,128,32S
116,128,12S
117,128,12S
End of 4th quarter,NA,0S
