LA Clippers,Milwaukee,time_rem
24-12,21-13,48M 0S
0,0,47M 41S
3,0,47M 10S
3,3,46M 48S
6,3,46M 2S
6,5,45M 38S
6,7,44M 21S
9,7,43M 55S
9,10,43M 38S
11,10,43M 7S
11,12,42M 20S
11,15,41M 53S
13,15,41M 39S
15,15,40M 20S
16,15,39M 36S
17,15,39M 36S
17,16,39M 24S
17,17,39M 24S
19,17,38M 56S
19,20,38M 47S
19,22,38M 21S
21,22,37M 59S
21,25,37M 46S
21,27,37M 11S
23,27,36M 11S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,27,35M 31S
27,27,34M 14S
29,27,33M 50S
29,29,33M 40S
31,29,33M 25S
31,31,32M 37S
34,31,32M 24S
34,33,32M 13S
Jump ball: B. Portis vs. I. Zubac (G. Antetokounmpo gains possession),NA,31M 53S
34,35,31M 44S
34,38,31M 21S
34,40,30M 3S
34,43,29M 35S
36,43,29M 22S
36,45,29M 8S
38,45,28M 50S
41,45,27M 56S
41,46,27M 7S
41,47,27M 7S
41,49,26M 9S
44,49,26M 1S
Jump ball: R. Jackson vs. D. Augustin (P. Beverley gains possession),NA,25M 51S
44,51,25M 29S
46,51,25M 6S
46,52,24M 31S
46,53,24M 31S
48,53,24M 11S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
48,55,23M 2S
50,55,22M 21S
53,55,21M 40S
53,58,21M 27S
53,59,21M 27S
53,60,21M 4S
53,61,21M 4S
55,61,20M 43S
55,63,20M 0S
55,65,19M 23S
55,66,19M 23S
58,66,19M 11S
58,68,19M 1S
60,68,18M 39S
60,70,18M 16S
62,70,17M 42S
65,70,17M 9S
68,70,16M 15S
69,70,15M 50S
71,70,15M 20S
73,70,14M 18S
73,73,13M 53S
75,73,12M 51S
75,75,12M 38S
76,75,12M 33S
77,75,12M 33S
78,75,12M 33S
81,75,12M 4S
81,77,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
81,79,11M 46S
83,79,11M 23S
83,80,11M 14S
86,80,10M 59S
86,83,9M 22S
88,83,9M 4S
90,83,8M 34S
90,85,8M 24S
90,87,8M 0S
93,87,7M 36S
93,90,6M 15S
93,91,5M 34S
95,91,5M 3S
95,93,4M 54S
98,93,4M 33S
98,96,4M 21S
100,96,4M 1S
100,98,2M 35S
100,99,2M 35S
100,100,1M 57S
100,101,1M 57S
100,103,10S
100,104,2S
100,105,2S
End of 4th quarter,NA,0S
