Miami,Boston,time_rem
38-31,35-34,48M 0S
0,0,47M 43S
0,2,47M 35S
0,5,47M 3S
2,5,46M 49S
2,8,45M 36S
3,8,45M 14S
5,8,45M 1S
8,8,44M 37S
8,10,44M 27S
8,11,44M 27S
10,11,43M 50S
12,11,42M 50S
12,13,41M 47S
12,14,41M 47S
14,14,41M 29S
14,16,41M 8S
14,17,40M 47S
16,17,40M 31S
16,19,40M 13S
17,19,39M 53S
18,19,39M 53S
19,19,39M 53S
22,19,39M 29S
22,21,39M 17S
24,21,39M 8S
24,23,38M 54S
26,23,37M 56S
26,25,37M 41S
28,25,36M 51S
28,28,36M 28S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,31,35M 44S
30,31,35M 27S
30,33,35M 7S
30,35,34M 31S
32,35,34M 6S
32,36,33M 21S
34,36,33M 5S
35,36,33M 5S
36,36,33M 5S
36,38,32M 6S
39,38,31M 57S
41,38,31M 33S
41,40,31M 7S
41,43,30M 28S
44,43,30M 10S
46,43,29M 41S
46,45,29M 24S
48,45,29M 10S
48,48,28M 56S
50,48,28M 37S
50,51,28M 20S
52,51,27M 53S
52,53,27M 41S
54,53,27M 23S
54,56,27M 3S
57,56,26M 41S
59,56,25M 42S
62,56,24M 30S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
64,56,22M 52S
64,59,22M 36S
66,59,21M 36S
66,62,21M 22S
68,62,20M 59S
68,64,20M 14S
68,67,19M 48S
69,67,19M 28S
70,67,18M 55S
71,67,18M 55S
72,67,18M 30S
72,68,17M 54S
73,68,17M 46S
74,68,17M 46S
74,70,16M 42S
76,70,16M 22S
76,73,16M 8S
79,73,15M 56S
81,73,15M 21S
83,73,14M 53S
83,75,14M 2S
86,75,13M 46S
86,77,13M 29S
88,77,13M 11S
91,77,12M 41S
93,77,12M 11S
93,79,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
96,79,11M 25S
96,82,10M 59S
99,82,10M 30S
99,84,9M 58S
102,84,9M 44S
105,84,9M 4S
105,86,8M 44S
106,86,8M 24S
106,87,8M 18S
106,89,8M 0S
109,89,7M 37S
109,92,7M 21S
109,94,6M 40S
111,94,6M 22S
111,95,6M 11S
111,97,5M 44S
111,98,5M 16S
111,99,5M 16S
114,99,5M 5S
114,100,4M 44S
114,101,4M 44S
114,103,4M 19S
116,103,4M 4S
116,106,3M 44S
118,106,3M 22S
121,106,2M 55S
121,108,2M 26S
121,110,1M 56S
123,110,1M 37S
123,113,1M 25S
123,115,55S
125,115,32S
125,118,22S
126,118,15S
127,118,15S
127,121,10S
128,121,8S
129,121,8S
End of 4th quarter,NA,0S
