Houston,Milwaukee,time_rem
16-51,43-24,48M 0S
0,0,47M 47S
0,2,47M 40S
1,2,47M 21S
1,3,46M 17S
1,4,46M 17S
1,6,45M 54S
4,6,45M 43S
4,8,45M 30S
4,10,45M 7S
4,12,44M 38S
7,12,44M 15S
7,14,43M 55S
7,16,43M 22S
9,16,43M 13S
9,18,43M 2S
11,18,42M 13S
13,18,42M 0S
15,18,41M 1S
15,21,40M 21S
15,23,40M 1S
15,24,40M 1S
18,24,39M 48S
18,27,39M 34S
21,27,39M 19S
24,27,38M 52S
26,27,38M 28S
26,30,38M 17S
26,32,37M 43S
26,34,37M 19S
29,34,36M 53S
32,34,36M 38S
34,34,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,34,35M 30S
36,36,35M 9S
39,36,34M 59S
39,38,33M 22S
41,38,33M 6S
43,38,32M 42S
43,41,32M 25S
45,41,31M 58S
46,41,31M 32S
46,43,31M 12S
46,45,30M 49S
48,45,29M 48S
48,47,29M 8S
51,47,28M 54S
51,49,28M 23S
51,50,27M 57S
51,52,27M 27S
54,52,27M 16S
56,52,26M 50S
56,53,26M 20S
56,54,26M 20S
58,54,25M 56S
58,55,25M 44S
58,56,25M 44S
58,59,25M 6S
58,60,24M 53S
58,61,24M 53S
60,61,24M 33S
60,64,24M 11S
63,64,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
63,67,23M 6S
63,70,22M 25S
63,72,22M 4S
66,72,21M 53S
66,75,21M 40S
69,75,21M 25S
69,78,21M 14S
69,81,20M 42S
71,81,20M 26S
71,82,20M 10S
71,83,20M 10S
73,83,19M 59S
74,83,19M 59S
74,85,19M 45S
76,85,19M 31S
79,85,19M 9S
79,88,18M 26S
80,88,17M 38S
81,88,17M 38S
82,88,17M 12S
83,88,17M 12S
86,88,16M 44S
86,91,16M 24S
88,91,16M 6S
89,91,16M 6S
89,94,15M 51S
89,96,15M 32S
89,98,15M 16S
89,101,14M 45S
92,101,14M 8S
92,103,13M 35S
92,105,12M 41S
92,107,12M 4S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
92,109,11M 43S
95,109,11M 21S
95,111,10M 58S
97,111,10M 44S
97,113,10M 35S
97,114,10M 13S
99,114,9M 46S
99,117,9M 36S
102,117,9M 2S
102,119,8M 47S
105,119,7M 45S
108,119,6M 47S
108,121,6M 30S
111,121,6M 15S
111,124,6M 1S
112,124,5M 45S
113,124,5M 45S
113,127,5M 31S
115,127,5M 12S
115,130,4M 52S
117,130,4M 41S
117,131,4M 32S
117,132,4M 32S
117,133,4M 32S
120,133,4M 16S
123,133,2M 51S
124,133,2M 31S
125,133,2M 31S
125,135,2M 13S
125,137,1M 46S
127,137,1M 27S
130,137,1M 9S
130,138,25S
130,139,25S
133,139,18S
133,140,15S
133,141,15S
End of 4th quarter,NA,0S
