Memphis,Denver,time_rem
31-29,40-21,48M 0S
2,0,47M 42S
2,1,47M 27S
2,3,46M 33S
2,5,46M 10S
3,5,45M 48S
4,5,45M 48S
4,7,45M 18S
5,7,44M 22S
5,9,44M 5S
7,9,43M 52S
7,11,43M 32S
9,11,43M 11S
9,13,42M 58S
12,13,41M 41S
12,14,41M 26S
12,15,41M 26S
13,15,40M 45S
14,15,40M 18S
15,15,40M 18S
17,15,39M 30S
17,17,39M 11S
17,18,38M 27S
17,19,38M 27S
18,19,37M 54S
18,21,36M 33S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
20,21,35M 8S
20,24,34M 48S
22,24,34M 33S
22,26,34M 19S
23,26,33M 18S
24,26,33M 18S
24,29,32M 24S
26,29,32M 11S
26,32,31M 56S
27,32,31M 39S
28,32,31M 39S
30,32,31M 13S
30,34,31M 2S
33,34,30M 49S
35,34,30M 16S
35,36,29M 49S
37,36,29M 31S
37,39,29M 13S
39,39,28M 54S
39,42,28M 39S
39,45,28M 15S
41,45,27M 37S
41,47,27M 24S
42,47,27M 14S
43,47,27M 14S
43,49,27M 0S
46,49,26M 47S
46,50,26M 38S
46,51,26M 38S
48,51,25M 43S
48,53,25M 13S
50,53,24M 35S
51,53,24M 35S
51,56,24M 30S
52,56,24M 12S
53,56,24M 12S
53,58,24M 3S
Jump ball: N. Jokić vs. J. Valančiūnas (A. Rivers gains possession),NA,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,58,22M 28S
55,59,22M 12S
55,60,22M 12S
58,60,21M 59S
58,62,21M 48S
60,62,20M 56S
60,63,20M 40S
60,64,20M 40S
61,64,20M 23S
63,64,19M 47S
63,66,19M 32S
63,68,19M 17S
63,70,18M 43S
65,70,18M 24S
65,73,16M 52S
65,75,15M 53S
67,75,15M 42S
69,75,15M 1S
71,75,14M 36S
71,76,14M 27S
71,77,14M 27S
73,77,14M 2S
73,80,13M 36S
75,80,13M 28S
75,82,12M 49S
75,83,12M 49S
75,85,12M 11S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
77,85,11M 39S
77,87,11M 20S
77,89,11M 3S
77,90,11M 3S
77,92,10M 18S
77,95,9M 49S
77,97,9M 5S
79,97,8M 53S
79,99,8M 6S
80,99,7M 56S
82,99,7M 10S
82,101,6M 47S
84,101,6M 34S
84,102,6M 5S
84,103,6M 5S
85,103,5M 39S
85,105,5M 16S
86,105,5M 15S
86,107,4M 48S
87,107,4M 39S
87,109,4M 33S
87,112,3M 42S
89,112,3M 20S
91,112,2M 42S
91,114,2M 21S
93,114,2M 8S
93,116,1M 30S
94,116,1M 8S
95,116,1M 8S
96,116,1M 8S
96,117,53S
96,118,53S
96,120,24S
End of 4th quarter,NA,0S
