LA Lakers,Miami,time_rem
32-20,27-25,48M 0S
0,2,47M 39S
2,2,47M 22S
2,3,47M 12S
2,4,47M 12S
2,6,46M 37S
5,6,46M 15S
5,7,46M 6S
5,8,46M 6S
7,8,45M 48S
7,9,45M 38S
7,10,45M 38S
7,12,44M 57S
10,12,44M 48S
10,15,44M 31S
10,17,43M 37S
10,18,43M 37S
10,19,43M 29S
10,20,43M 29S
12,20,43M 13S
14,20,42M 44S
17,20,42M 20S
17,21,42M 6S
19,21,41M 7S
21,21,40M 42S
21,22,40M 34S
21,23,39M 20S
21,24,39M 20S
21,25,38M 57S
21,26,38M 57S
24,26,38M 45S
24,29,37M 30S
24,31,37M 8S
25,31,36M 54S
25,32,36M 39S
27,32,36M 28S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,32,35M 48S
28,34,35M 7S
28,37,34M 18S
28,39,33M 37S
29,39,33M 14S
30,39,33M 14S
31,39,33M 14S
33,39,33M 0S
33,42,31M 57S
33,44,31M 39S
35,44,31M 27S
38,44,30M 50S
38,47,30M 35S
40,47,30M 20S
42,47,29M 44S
42,49,29M 32S
45,49,29M 12S
46,49,28M 45S
48,49,28M 14S
49,49,27M 42S
50,49,27M 42S
51,49,27M 42S
51,50,27M 25S
52,50,27M 8S
53,50,27M 8S
53,52,26M 50S
54,52,26M 17S
54,54,25M 57S
56,54,24M 10S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,54,23M 40S
58,54,23M 40S
58,56,23M 23S
58,58,22M 40S
58,61,21M 23S
60,61,20M 26S
60,63,20M 10S
60,64,19M 46S
61,64,19M 27S
62,64,19M 27S
62,66,19M 11S
62,68,18M 46S
63,68,18M 27S
64,68,18M 27S
64,69,18M 12S
64,70,18M 12S
67,70,17M 47S
67,72,17M 0S
70,72,16M 47S
71,72,15M 55S
72,72,15M 55S
72,73,15M 47S
72,76,15M 20S
72,79,14M 46S
72,80,14M 46S
74,80,14M 5S
76,80,13M 47S
78,80,13M 14S
80,80,12M 48S
80,82,12M 20S
80,83,12M 20S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
80,86,11M 38S
80,87,11M 10S
80,88,11M 10S
82,88,10M 53S
82,90,10M 1S
84,90,8M 44S
84,92,7M 42S
85,92,7M 18S
86,92,7M 18S
89,92,6M 11S
89,93,5M 57S
89,95,5M 51S
92,95,5M 7S
92,97,4M 46S
92,99,4M 10S
94,99,3M 58S
94,102,2M 49S
94,103,2M 14S
94,104,2M 14S
97,104,1M 36S
97,106,59S
Jump ball: A. Drummond vs. B. Adebayo (D. Schröder gains possession),NA,45S
100,106,29S
100,107,17S
100,108,17S
102,108,14S
102,109,13S
102,110,13S
104,110,7S
End of 4th quarter,NA,0S
