Golden State,LA Clippers,time_rem
19-19,25-14,48M 0S
0,0,47M 35S
0,3,47M 23S
0,5,46M 48S
3,5,46M 39S
3,7,46M 20S
Jump ball: K. Leonard vs. K. Oubre (S. Ibaka gains possession),NA,45M 32S
3,10,45M 30S
3,12,45M 1S
5,12,43M 17S
5,14,43M 0S
6,14,42M 51S
7,14,42M 51S
8,14,42M 25S
9,14,42M 25S
12,14,41M 30S
12,15,40M 59S
12,16,40M 59S
15,16,40M 48S
15,18,40M 30S
17,18,39M 54S
17,20,39M 35S
20,20,38M 50S
20,22,38M 14S
22,22,37M 29S
23,22,37M 14S
25,22,36M 50S
25,25,36M 37S
25,28,36M 4S
26,28,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,30,35M 48S
28,30,35M 16S
28,31,34M 58S
28,34,34M 34S
30,34,34M 0S
30,36,33M 49S
30,37,32M 51S
30,38,32M 51S
30,40,32M 13S
32,40,31M 49S
32,41,31M 38S
32,42,31M 18S
32,43,31M 18S
32,45,30M 45S
35,45,29M 9S
35,48,28M 50S
35,51,27M 27S
37,51,27M 14S
37,54,26M 44S
39,54,25M 38S
40,54,25M 16S
41,54,25M 16S
41,55,24M 29S
41,56,24M 29S
43,56,24M 11S
43,59,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
43,61,23M 45S
43,62,23M 45S
43,64,23M 29S
46,64,23M 18S
46,67,22M 58S
46,70,22M 28S
46,72,22M 6S
48,72,21M 17S
49,72,20M 27S
50,72,20M 27S
50,75,20M 12S
52,75,20M 0S
54,75,19M 33S
55,75,19M 8S
55,77,18M 55S
57,77,18M 45S
57,79,17M 59S
57,82,17M 35S
57,83,17M 35S
59,83,17M 18S
60,83,16M 29S
61,83,16M 29S
61,84,16M 23S
61,85,16M 23S
61,87,16M 0S
61,88,16M 0S
61,89,15M 39S
61,91,15M 9S
63,91,14M 48S
63,92,14M 35S
63,93,14M 35S
63,96,14M 1S
65,96,13M 42S
65,99,13M 22S
65,101,13M 2S
65,104,12M 32S
68,104,12M 12S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
69,104,11M 47S
70,104,11M 47S
70,106,11M 34S
72,106,11M 27S
74,106,10M 21S
74,107,10M 10S
76,107,9M 59S
76,108,9M 46S
78,108,9M 37S
78,111,9M 20S
80,111,8M 26S
81,111,8M 3S
82,111,8M 3S
82,113,7M 47S
85,113,7M 35S
85,115,7M 24S
87,115,7M 5S
87,117,6M 16S
89,117,5M 50S
89,120,5M 22S
91,120,5M 12S
91,122,4M 42S
94,122,4M 28S
96,122,3M 30S
96,124,3M 17S
98,124,2M 54S
99,124,2M 27S
100,124,2M 11S
102,124,1M 21S
102,126,1M 5S
104,126,58S
104,127,46S
104,128,46S
104,129,30S
104,130,30S
End of 4th quarter,NA,0S
