New York,Boston,time_rem
25-27,26-26,48M 0S
0,0,47M 44S
1,0,47M 44S
1,2,47M 25S
4,2,46M 5S
6,2,45M 38S
6,4,45M 27S
8,4,44M 43S
8,6,43M 54S
10,6,43M 6S
10,8,42M 29S
10,10,41M 29S
10,12,41M 3S
10,13,40M 29S
10,16,39M 52S
11,16,39M 35S
11,17,39M 19S
11,18,39M 13S
14,18,38M 56S
16,18,38M 24S
16,21,36M 44S
19,21,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
19,24,35M 2S
21,24,34M 38S
24,24,34M 2S
27,24,33M 38S
27,27,33M 2S
28,27,32M 49S
29,27,32M 49S
29,29,32M 39S
31,29,32M 27S
31,32,31M 58S
33,32,31M 11S
33,34,30M 2S
35,34,29M 46S
35,36,28M 51S
35,37,28M 34S
35,40,28M 8S
35,42,27M 6S
36,42,25M 33S
37,42,25M 33S
40,42,25M 7S
40,45,24M 52S
43,45,24M 44S
43,47,24M 38S
46,47,24M 32S
Jump ball: T. Gibson vs. J. Tatum (D. Rose gains possession),NA,24M 21S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
48,47,22M 23S
48,50,22M 4S
50,50,21M 52S
53,50,21M 5S
55,50,20M 43S
57,50,20M 13S
57,53,19M 57S
57,56,19M 27S
57,58,19M 0S
57,60,18M 31S
58,60,18M 15S
59,60,18M 15S
59,62,17M 34S
59,63,17M 34S
62,63,17M 18S
63,63,16M 56S
64,63,16M 56S
66,63,16M 12S
66,66,16M 4S
Jump ball: T. Gibson vs. R. Williams (J. Randle gains possession),NA,15M 37S
66,68,15M 10S
69,68,14M 48S
71,68,14M 29S
73,68,12M 47S
73,70,12M 33S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
75,70,10M 9S
75,73,9M 17S
78,73,8M 55S
79,73,8M 20S
80,73,8M 20S
80,74,8M 4S
80,75,8M 4S
80,77,7M 34S
82,77,7M 15S
82,80,6M 58S
85,80,6M 32S
85,81,5M 50S
85,82,5M 50S
85,84,5M 26S
85,87,4M 32S
85,89,3M 52S
87,89,3M 33S
87,91,2M 54S
88,91,2M 40S
90,91,1M 39S
90,93,1M 2S
93,93,54S
93,96,36S
93,97,19S
93,98,11S
93,99,11S
96,99,6S
96,100,4S
96,101,4S
99,101,1S
End of 4th quarter,NA,0S
