LA Clippers,Denver,time_rem
2-0,0-2,48M 0S
0,0,47M 42S
3,0,46M 34S
3,2,46M 17S
6,2,45M 28S
6,5,45M 7S
6,7,44M 54S
8,7,43M 31S
8,10,43M 14S
9,10,42M 50S
10,10,42M 50S
10,12,42M 30S
13,12,42M 15S
15,12,41M 51S
15,14,41M 32S
18,14,41M 19S
21,14,40M 46S
21,16,40M 14S
21,17,39M 33S
21,18,39M 33S
24,18,39M 21S
24,20,38M 46S
24,21,38M 19S
24,22,38M 19S
25,22,38M 8S
26,22,38M 8S
27,22,37M 49S
28,22,37M 49S
28,23,37M 39S
28,24,37M 39S
30,24,37M 23S
32,24,36M 31S
32,25,36M 15S
32,26,36M 15S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,26,35M 46S
35,28,35M 22S
38,28,35M 9S
41,28,34M 40S
41,30,34M 26S
44,30,33M 43S
44,31,33M 30S
44,32,33M 30S
44,33,33M 30S
46,33,33M 12S
47,33,33M 12S
47,36,32M 49S
47,38,32M 5S
47,39,32M 5S
49,39,31M 47S
50,39,31M 47S
52,39,31M 16S
53,39,31M 16S
53,40,31M 1S
56,40,30M 26S
56,42,29M 34S
56,43,28M 47S
57,43,28M 25S
58,43,28M 10S
58,45,27M 53S
61,45,27M 40S
61,46,27M 32S
63,46,26M 51S
63,48,26M 36S
64,48,26M 14S
65,48,26M 14S
65,50,25M 50S
66,50,25M 24S
67,50,25M 24S
69,50,24M 59S
70,50,24M 59S
70,51,24M 41S
70,52,24M 41S
71,52,24M 12S
72,52,24M 12S
72,55,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
74,55,23M 46S
76,55,22M 50S
76,58,21M 53S
79,58,21M 36S
79,60,21M 15S
79,61,19M 57S
79,63,19M 23S
81,63,19M 8S
81,65,18M 55S
84,65,18M 43S
84,66,18M 3S
84,69,17M 39S
86,69,17M 18S
87,69,16M 54S
88,69,16M 54S
88,71,16M 44S
88,72,16M 44S
91,72,16M 27S
93,72,15M 27S
93,74,15M 10S
95,74,13M 43S
98,74,13M 17S
98,75,13M 4S
98,77,12M 36S
98,78,12M 33S
98,79,12M 33S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
98,81,11M 53S
98,83,11M 12S
98,85,10M 44S
100,85,10M 31S
102,85,9M 48S
102,87,9M 33S
102,90,8M 55S
104,90,8M 31S
104,92,8M 7S
106,92,7M 44S
106,95,7M 35S
108,95,7M 11S
108,97,6M 57S
111,97,5M 5S
111,100,4M 49S
114,100,4M 27S
116,100,3M 52S
116,102,3M 38S
116,105,2M 44S
119,105,2M 24S
119,108,2M 1S
121,108,49S
End of 4th quarter,NA,0S
