San Antonio,Minnesota,time_rem
5-5,3-7,48M 0S
0,0,47M 45S
0,2,47M 33S
2,2,47M 12S
2,5,46M 30S
2,8,46M 2S
4,8,45M 51S
4,10,44M 45S
5,10,44M 28S
6,10,44M 28S
8,10,44M 0S
8,13,43M 50S
8,15,43M 25S
10,15,43M 4S
10,17,42M 30S
12,17,42M 13S
14,17,41M 49S
14,20,41M 35S
16,20,41M 12S
18,20,40M 49S
20,20,39M 50S
20,21,38M 24S
20,22,37M 44S
20,23,37M 44S
22,23,37M 4S
22,25,36M 6S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
22,27,34M 22S
22,29,33M 15S
24,29,32M 18S
26,29,31M 53S
26,31,31M 41S
26,33,30M 58S
27,33,30M 44S
28,33,30M 44S
30,33,30M 14S
33,33,30M 0S
35,33,29M 21S
35,36,29M 3S
38,36,28M 45S
38,38,28M 19S
41,38,28M 4S
41,39,27M 50S
41,40,27M 50S
44,40,27M 17S
44,42,26M 48S
46,42,26M 28S
46,44,26M 9S
47,44,24M 40S
49,44,24M 34S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
49,46,23M 45S
52,46,23M 23S
52,48,22M 48S
52,50,22M 13S
52,53,21M 34S
55,53,21M 7S
55,56,20M 19S
57,56,19M 40S
57,58,18M 33S
59,58,18M 15S
60,58,18M 15S
60,60,17M 18S
60,62,16M 53S
61,62,16M 24S
61,64,16M 10S
63,64,15M 52S
65,64,14M 46S
67,64,13M 58S
67,66,13M 50S
69,66,13M 35S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
72,66,11M 44S
72,68,11M 18S
75,68,10M 25S
77,68,9M 48S
77,69,8M 40S
77,70,8M 40S
77,71,8M 40S
77,72,8M 8S
77,73,8M 8S
77,74,7M 33S
77,77,7M 2S
77,79,5M 47S
79,79,5M 33S
79,81,5M 14S
81,81,4M 54S
81,84,4M 8S
81,86,3M 30S
83,86,3M 16S
83,88,2M 48S
85,88,2M 32S
85,89,2M 11S
85,90,2M 11S
85,91,1M 44S
85,92,1M 44S
87,92,1M 31S
88,92,56S
88,93,31S
88,94,31S
88,95,21S
88,96,21S
End of 4th quarter,NA,0S
