Memphis,Portland,time_rem
30-28,32-27,48M 0S
0,0,47M 34S
3,0,46M 54S
3,2,46M 31S
5,2,45M 56S
5,4,44M 45S
8,4,43M 19S
8,7,42M 59S
10,7,42M 47S
10,8,42M 36S
10,9,42M 36S
11,9,42M 3S
12,9,42M 3S
12,11,41M 48S
12,14,41M 35S
14,14,41M 20S
16,14,40M 58S
18,14,40M 18S
20,14,39M 52S
20,16,38M 51S
22,16,38M 36S
22,18,38M 24S
24,18,38M 9S
26,18,37M 34S
26,20,37M 15S
28,20,36M 50S
28,23,36M 31S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,23,35M 45S
30,26,35M 6S
32,26,34M 52S
34,26,33M 46S
34,29,33M 24S
36,29,32M 46S
36,31,32M 25S
36,32,32M 25S
39,32,32M 7S
41,32,31M 15S
41,34,31M 8S
41,35,30M 40S
41,36,30M 16S
41,37,30M 16S
43,37,29M 12S
43,38,28M 52S
43,39,28M 52S
43,41,28M 32S
45,41,28M 11S
47,41,27M 45S
47,43,27M 26S
47,44,27M 26S
49,44,27M 13S
49,47,27M 0S
51,47,26M 49S
51,49,26M 41S
51,52,26M 18S
53,52,26M 1S
55,52,25M 41S
56,52,25M 41S
56,54,25M 20S
58,54,24M 49S
60,54,24M 33S
60,55,24M 27S
60,56,24M 27S
62,56,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
62,58,23M 40S
62,61,22M 55S
65,61,22M 40S
67,61,22M 14S
67,64,21M 58S
67,67,20M 41S
67,68,20M 18S
67,69,20M 18S
70,69,19M 41S
70,71,19M 17S
70,73,18M 52S
72,73,18M 38S
72,76,18M 20S
74,76,17M 53S
74,78,17M 41S
74,79,17M 41S
76,79,17M 23S
76,81,17M 8S
78,81,16M 28S
78,84,16M 13S
79,84,16M 3S
80,84,16M 3S
83,84,15M 51S
83,86,15M 30S
84,86,15M 7S
85,86,15M 7S
85,87,14M 58S
88,87,14M 46S
88,89,14M 32S
90,89,14M 21S
90,91,14M 8S
92,91,13M 54S
94,91,13M 31S
94,94,13M 13S
96,94,13M 0S
96,96,12M 41S
97,96,12M 34S
98,96,12M 34S
98,99,12M 13S
100,99,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
100,101,11M 45S
100,102,10M 33S
100,103,10M 33S
100,104,10M 7S
102,104,9M 59S
102,106,9M 43S
104,106,9M 29S
106,106,9M 7S
106,107,8M 56S
106,108,8M 56S
109,108,8M 46S
110,108,8M 18S
111,108,8M 18S
111,110,7M 52S
114,110,7M 38S
114,112,7M 21S
114,114,6M 36S
115,114,6M 26S
115,116,5M 39S
117,116,5M 20S
117,117,4M 59S
117,119,4M 19S
119,119,4M 3S
119,121,3M 46S
121,121,2M 52S
121,123,2M 1S
123,123,1M 54S
125,123,1M 34S
126,123,1M 11S
126,125,45S
127,125,3S
128,125,3S
128,126,2S
129,126,1S
130,126,1S
130,128,0S
End of 4th quarter,NA,0S
