Detroit,Utah,time_rem
5-16,16-5,48M 0S
0,0,47M 41S
0,3,47M 36S
0,5,47M 12S
2,5,46M 48S
2,8,46M 24S
2,10,46M 0S
2,12,44M 38S
4,12,44M 16S
5,12,44M 16S
7,12,43M 48S
7,14,43M 22S
9,14,43M 0S
9,17,42M 50S
9,19,42M 25S
9,22,41M 16S
9,23,39M 50S
9,24,39M 50S
10,24,39M 8S
11,24,39M 8S
12,24,38M 27S
13,24,38M 27S
13,26,38M 19S
15,26,38M 8S
15,28,37M 46S
15,31,37M 24S
18,31,37M 9S
20,31,36M 52S
21,31,36M 33S
22,31,36M 33S
22,33,36M 26S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
22,36,35M 12S
22,38,34M 53S
25,38,34M 42S
25,39,34M 26S
25,40,34M 26S
28,40,33M 57S
28,43,33M 39S
30,43,33M 19S
31,43,33M 19S
31,44,33M 9S
31,45,33M 9S
33,45,32M 34S
33,48,31M 46S
33,51,31M 23S
33,53,30M 56S
33,54,30M 56S
35,54,30M 26S
35,55,29M 44S
35,56,29M 44S
36,56,29M 31S
37,56,29M 31S
37,59,29M 20S
39,59,28M 58S
39,60,28M 56S
39,61,28M 56S
41,61,28M 32S
41,63,28M 15S
41,65,27M 44S
41,66,27M 15S
41,67,27M 15S
41,68,26M 48S
41,69,26M 48S
43,69,25M 40S
44,69,25M 40S
46,69,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
46,71,23M 45S
48,71,23M 23S
48,73,23M 16S
50,73,22M 38S
51,73,22M 10S
54,73,21M 57S
54,74,21M 19S
56,74,20M 56S
58,74,20M 32S
58,77,19M 35S
58,79,19M 13S
58,82,19M 1S
60,82,18M 43S
60,85,17M 49S
60,86,17M 14S
60,87,17M 14S
62,87,16M 29S
63,87,15M 51S
64,87,15M 25S
65,87,15M 25S
65,89,15M 3S
68,89,14M 44S
68,91,14M 34S
68,92,14M 34S
70,92,14M 10S
72,92,13M 34S
72,94,13M 21S
75,94,12M 34S
77,94,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
79,94,11M 46S
79,96,11M 21S
82,96,10M 44S
82,99,10M 27S
84,99,10M 7S
86,99,9M 41S
86,101,8M 35S
89,101,8M 23S
89,102,8M 9S
89,103,8M 9S
91,103,7M 23S
91,104,6M 54S
93,104,6M 34S
93,106,5M 45S
95,106,5M 29S
95,107,4M 36S
95,108,4M 36S
96,108,4M 5S
99,108,3M 46S
101,108,3M 14S
101,109,2M 59S
103,109,2M 45S
104,109,2M 6S
105,109,2M 6S
105,112,1M 26S
105,115,49S
105,117,34S
End of 4th quarter,NA,0S
