Minnesota,Washington,time_rem
7-27,13-18,48M 0S
0,0,47M 43S
2,0,47M 14S
2,2,46M 59S
2,4,46M 26S
4,4,46M 12S
4,6,46M 2S
6,6,45M 40S
6,9,45M 21S
8,9,45M 5S
8,12,44M 51S
10,12,44M 17S
12,12,44M 10S
12,14,43M 35S
12,16,42M 42S
13,16,42M 33S
14,16,42M 33S
15,16,42M 9S
17,16,41M 43S
19,16,41M 1S
21,16,40M 48S
Jump ball: A. Len vs. K. Towns (D. Bertāns gains possession),NA,40M 28S
21,17,40M 24S
21,18,40M 24S
24,18,40M 5S
26,18,39M 15S
26,19,39M 2S
26,20,39M 2S
26,22,38M 19S
26,24,37M 37S
27,24,37M 35S
27,25,37M 27S
27,26,37M 27S
27,27,36M 56S
29,27,36M 34S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,27,35M 31S
31,29,35M 17S
33,29,34M 59S
33,31,34M 47S
Jump ball: A. Len vs. N. Reid (D. Avdija gains possession),NA,34M 27S
34,31,34M 23S
34,33,34M 13S
34,34,33M 51S
34,35,33M 51S
36,35,33M 30S
36,37,33M 9S
36,39,32M 33S
38,39,32M 2S
41,39,30M 57S
43,39,30M 28S
43,40,29M 42S
43,41,29M 42S
43,42,28M 56S
43,43,28M 56S
43,45,28M 28S
44,45,28M 4S
45,45,28M 4S
47,45,27M 29S
47,47,27M 16S
49,47,26M 42S
49,49,25M 43S
49,50,25M 25S
49,51,25M 25S
49,52,25M 4S
49,54,24M 34S
52,54,24M 28S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
52,55,23M 45S
52,56,23M 45S
55,56,23M 13S
58,56,22M 41S
59,56,22M 0S
60,56,22M 0S
60,58,21M 47S
63,58,21M 28S
63,60,21M 21S
63,61,21M 21S
65,61,20M 59S
65,63,20M 47S
67,63,20M 28S
67,65,20M 23S
67,66,20M 2S
67,67,20M 2S
67,69,19M 47S
67,72,18M 59S
68,72,18M 33S
68,74,18M 20S
71,74,18M 13S
71,76,17M 40S
71,79,17M 3S
72,79,16M 54S
73,79,16M 54S
73,81,16M 44S
73,84,16M 16S
73,87,15M 43S
75,87,15M 24S
75,90,15M 9S
76,90,14M 55S
77,90,14M 55S
77,93,14M 46S
77,95,14M 11S
79,95,14M 1S
79,98,12M 59S
81,98,12M 47S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
83,98,11M 31S
83,101,11M 3S
85,101,10M 47S
85,104,10M 3S
87,104,9M 40S
88,104,9M 36S
90,104,9M 13S
90,106,8M 29S
92,106,7M 56S
92,108,7M 28S
95,108,7M 15S
95,110,7M 5S
98,110,6M 33S
100,110,5M 48S
100,113,5M 32S
100,116,5M 7S
100,117,4M 57S
100,118,4M 57S
101,118,4M 47S
101,120,4M 31S
102,120,4M 24S
105,120,3M 15S
108,120,2M 51S
108,122,2M 7S
108,123,2M 7S
108,124,1M 42S
108,125,1M 42S
108,126,1M 42S
110,126,1M 33S
110,128,1M 21S
111,128,21S
112,128,21S
End of 4th quarter,NA,0S
