Houston,Golden State,time_rem
14-39,25-28,48M 0S
0,0,47M 50S
0,2,47M 32S
2,2,46M 43S
2,4,46M 38S
4,4,46M 18S
4,6,45M 24S
4,8,45M 0S
7,8,44M 47S
7,10,44M 22S
7,11,44M 3S
7,12,44M 3S
9,12,43M 37S
9,14,43M 24S
11,14,43M 13S
14,14,42M 54S
16,14,42M 30S
16,16,41M 44S
16,18,41M 16S
16,20,40M 57S
19,20,40M 36S
19,21,40M 27S
19,22,40M 27S
22,22,39M 45S
22,24,39M 29S
22,26,38M 53S
24,26,38M 19S
24,29,38M 14S
24,32,37M 47S
27,32,37M 33S
30,32,36M 35S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,34,34M 53S
32,34,34M 28S
32,36,34M 11S
32,39,33M 14S
32,42,32M 42S
34,42,32M 28S
34,44,32M 9S
34,47,31M 49S
36,47,31M 37S
36,49,31M 19S
39,49,31M 5S
39,51,30M 45S
41,51,30M 14S
41,53,29M 53S
41,56,28M 55S
41,58,27M 58S
42,58,27M 12S
44,58,26M 42S
45,58,26M 16S
45,60,25M 45S
45,63,25M 33S
46,63,24M 48S
47,63,24M 48S
47,65,24M 36S
48,65,24M 30S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
48,67,23M 22S
50,67,22M 54S
52,67,21M 18S
52,69,21M 2S
52,72,20M 36S
54,72,20M 12S
Jump ball: J. Tate vs. S. Curry (J. Wall gains possession),NA,20M 4S
56,72,20M 1S
58,72,19M 28S
58,74,18M 50S
60,74,18M 37S
63,74,18M 6S
63,77,17M 51S
65,77,17M 23S
65,79,16M 42S
65,80,16M 42S
67,80,15M 52S
67,83,15M 36S
69,83,15M 18S
71,83,14M 46S
71,86,14M 34S
71,87,13M 50S
71,88,13M 50S
71,89,13M 50S
72,89,13M 28S
73,89,13M 28S
73,92,13M 15S
76,92,13M 6S
76,94,12M 48S
78,94,12M 38S
79,94,12M 20S
80,94,12M 20S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,94,11M 50S
82,96,11M 25S
84,96,11M 12S
84,98,10M 47S
85,98,10M 12S
86,98,10M 12S
86,100,9M 48S
89,100,8M 57S
89,102,8M 35S
90,102,8M 1S
90,105,7M 47S
93,105,7M 27S
93,106,7M 8S
93,107,7M 8S
93,109,6M 43S
95,109,6M 27S
95,111,6M 6S
98,111,5M 56S
100,111,5M 34S
100,113,5M 17S
100,114,4M 36S
100,116,4M 11S
101,116,3M 59S
102,116,3M 59S
104,116,3M 4S
107,116,2M 41S
107,117,2M 7S
107,118,2M 7S
109,118,1M 58S
109,120,1M 45S
109,122,1M 29S
109,125,1M 2S
End of 4th quarter,NA,0S
