Charlotte,Toronto,time_rem
6-8,4-8,48M 0S
0,0,47M 49S
1,0,47M 4S
3,0,46M 9S
3,2,45M 30S
4,2,44M 51S
5,2,44M 51S
6,2,44M 51S
9,2,44M 27S
12,2,43M 44S
14,2,42M 53S
14,4,42M 41S
14,5,42M 8S
14,6,42M 8S
14,8,41M 37S
17,8,41M 15S
17,11,40M 39S
17,14,39M 58S
17,16,39M 16S
19,16,39M 2S
19,17,38M 42S
19,20,38M 9S
19,23,37M 45S
20,23,37M 29S
21,23,37M 29S
21,26,37M 16S
21,27,36M 50S
21,28,36M 50S
24,28,36M 35S
24,31,36M 31S
27,31,36M 7S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,33,35M 37S
27,35,35M 11S
30,35,34M 59S
30,38,34M 37S
31,38,34M 22S
31,41,34M 0S
32,41,33M 22S
33,41,33M 22S
33,44,33M 1S
33,46,32M 51S
35,46,32M 36S
37,46,31M 58S
37,49,31M 35S
38,49,31M 28S
39,49,31M 28S
39,50,31M 14S
39,51,31M 14S
41,51,31M 2S
42,51,31M 2S
42,54,30M 44S
43,54,30M 3S
44,54,30M 3S
44,56,29M 17S
45,56,29M 1S
46,56,29M 1S
48,56,28M 18S
48,59,27M 39S
50,59,27M 12S
50,62,26M 41S
52,62,26M 24S
54,62,25M 58S
57,62,25M 34S
57,63,25M 13S
57,64,25M 13S
58,64,25M 6S
58,66,24M 57S
61,66,24M 9S
64,66,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
66,66,23M 36S
68,66,23M 12S
70,66,22M 46S
73,66,22M 21S
73,69,21M 34S
74,69,21M 19S
75,69,21M 19S
75,71,19M 52S
76,71,19M 40S
76,73,19M 24S
78,73,18M 36S
78,76,17M 28S
80,76,17M 12S
80,79,16M 45S
80,80,16M 30S
80,81,16M 30S
80,82,15M 58S
80,83,15M 58S
80,85,15M 9S
82,85,13M 42S
84,85,13M 11S
86,85,12M 43S
86,88,12M 35S
87,88,12M 11S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
89,88,11M 21S
91,88,11M 4S
91,91,10M 39S
91,94,10M 3S
94,94,9M 1S
96,94,8M 9S
96,95,7M 58S
96,98,7M 24S
98,98,7M 12S
98,101,6M 56S
98,102,6M 29S
99,102,5M 35S
99,104,5M 14S
102,104,2M 21S
102,106,2M 4S
104,106,1M 57S
104,107,1M 41S
104,108,1M 41S
107,108,1M 21S
107,109,1M 6S
107,110,1M 6S
110,110,54S
110,112,38S
110,113,13S
110,114,13S
113,114,8S
113,115,3S
113,116,3S
End of 4th quarter,NA,0S
