Orlando,Toronto,time_rem
8-13,8-12,48M 0S
0,0,47M 37S
0,2,46M 52S
3,2,46M 30S
3,4,46M 9S
3,6,45M 42S
3,8,44M 58S
3,10,44M 14S
6,10,43M 58S
9,10,43M 20S
9,12,42M 38S
10,12,42M 0S
11,12,42M 0S
11,15,41M 34S
11,16,41M 12S
11,17,41M 12S
11,19,40M 10S
11,22,39M 44S
13,22,39M 18S
13,24,37M 48S
13,27,37M 5S
15,27,36M 44S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
18,27,35M 22S
21,27,34M 50S
21,29,34M 37S
24,29,34M 15S
24,31,33M 51S
24,33,33M 18S
25,33,33M 6S
25,34,32M 59S
25,35,32M 59S
27,35,32M 38S
27,36,31M 26S
27,37,31M 26S
27,40,31M 17S
27,43,30M 36S
30,43,29M 57S
31,43,29M 23S
32,43,29M 23S
35,43,27M 59S
35,45,27M 40S
37,45,27M 10S
39,45,26M 45S
40,45,26M 17S
40,48,25M 50S
40,49,25M 29S
40,50,25M 29S
42,50,25M 9S
42,52,24M 55S
42,53,24M 55S
42,56,24M 24S
44,56,24M 3S
44,58,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
45,58,23M 46S
46,58,23M 46S
46,61,23M 34S
48,61,22M 54S
48,63,21M 49S
50,63,21M 36S
50,65,21M 23S
51,65,20M 58S
52,65,20M 58S
53,65,20M 28S
54,65,20M 28S
54,68,19M 46S
54,70,19M 15S
57,70,18M 54S
58,70,18M 7S
58,72,17M 40S
58,74,17M 12S
59,74,17M 7S
60,74,17M 7S
60,76,16M 47S
62,76,16M 39S
62,78,15M 54S
63,78,15M 6S
64,78,14M 11S
65,78,14M 11S
65,79,13M 47S
65,80,13M 47S
66,80,13M 44S
66,81,13M 23S
66,82,13M 23S
69,82,13M 6S
69,83,12M 45S
69,84,12M 45S
71,84,12M 38S
73,84,12M 5S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
76,84,11M 11S
76,86,10M 4S
78,86,9M 38S
78,88,8M 56S
80,88,8M 33S
80,91,8M 24S
80,93,8M 0S
80,94,7M 43S
81,94,7M 24S
81,95,7M 11S
81,96,7M 11S
81,98,6M 45S
83,98,5M 49S
83,101,4M 47S
84,101,4M 23S
85,101,4M 23S
85,103,4M 2S
87,103,3M 2S
87,105,2M 45S
87,106,2M 45S
87,108,2M 26S
89,108,1M 51S
89,111,1M 38S
92,111,1M 28S
94,111,1M 14S
96,111,47S
97,111,47S
97,112,38S
97,113,38S
99,113,26S
99,115,17S
102,115,7S
End of 4th quarter,NA,0S
