Detroit,Miami,time_rem
3-9,4-7,48M 0S
0,2,47M 41S
3,2,47M 24S
3,5,46M 18S
3,7,45M 43S
5,7,45M 27S
5,10,44M 44S
7,10,44M 15S
7,12,43M 56S
10,12,43M 25S
13,12,42M 58S
15,12,42M 21S
15,14,41M 59S
17,14,41M 44S
19,14,41M 19S
19,17,40M 47S
19,18,40M 30S
21,18,39M 37S
23,18,38M 48S
23,20,38M 19S
23,21,38M 19S
25,21,37M 29S
27,21,36M 52S
27,23,36M 41S
28,23,36M 31S
29,23,36M 31S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,23,35M 48S
33,23,35M 24S
33,25,35M 13S
33,28,34M 47S
35,28,34M 33S
35,30,34M 13S
36,30,34M 3S
37,30,34M 3S
37,32,33M 45S
37,35,33M 10S
39,35,32M 23S
39,38,32M 16S
41,38,31M 53S
41,40,29M 48S
41,42,29M 20S
42,42,29M 6S
45,42,27M 58S
45,43,27M 50S
45,44,27M 35S
45,45,27M 35S
47,45,26M 58S
47,47,26M 43S
49,47,26M 17S
49,49,26M 3S
49,50,25M 29S
49,51,25M 29S
51,51,25M 15S
52,51,24M 59S
52,52,24M 49S
52,53,24M 49S
52,55,24M 1S
52,56,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,56,23M 4S
55,58,22M 36S
58,58,22M 22S
60,58,22M 1S
62,58,20M 43S
63,58,20M 12S
63,61,19M 57S
66,61,19M 37S
68,61,19M 16S
68,64,18M 52S
71,64,18M 33S
71,65,17M 53S
71,68,17M 43S
73,68,17M 19S
75,68,16M 47S
75,70,16M 27S
78,70,16M 8S
80,70,15M 36S
81,70,15M 36S
84,70,14M 42S
87,70,13M 51S
87,72,13M 22S
87,73,12M 52S
87,74,12M 52S
87,75,12M 30S
90,75,12M 11S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
93,75,11M 7S
96,75,9M 48S
96,78,9M 31S
99,78,9M 5S
99,81,8M 52S
100,81,8M 36S
101,81,8M 36S
101,82,8M 21S
101,83,8M 21S
101,84,7M 59S
101,85,7M 59S
104,85,7M 38S
104,86,6M 47S
104,87,6M 47S
104,88,5M 37S
104,89,5M 37S
106,89,5M 20S
109,89,4M 1S
111,89,3M 24S
111,91,2M 27S
113,91,2M 8S
113,93,2M 2S
115,93,1M 42S
115,95,1M 24S
118,95,1M 17S
118,96,1M 4S
118,97,1M 4S
120,97,45S
120,100,8S
End of 4th quarter,NA,0S
