Cleveland,LA Clippers,time_rem
10-18,20-8,48M 0S
2,0,47M 44S
2,2,47M 31S
4,2,46M 34S
5,2,46M 5S
7,2,45M 33S
7,5,44M 47S
9,5,44M 33S
9,7,44M 22S
9,8,44M 3S
9,9,44M 3S
9,11,43M 32S
9,12,42M 34S
9,13,42M 34S
11,13,42M 15S
11,15,41M 33S
11,16,41M 33S
13,16,41M 14S
15,16,40M 42S
15,17,40M 31S
15,19,40M 0S
15,20,39M 35S
15,21,39M 35S
15,22,39M 13S
15,23,38M 45S
15,24,38M 45S
17,24,38M 32S
18,24,38M 32S
18,26,38M 4S
18,27,37M 13S
19,27,37M 2S
19,30,36M 54S
21,30,36M 40S
21,32,36M 22S
22,32,36M 1S
23,32,36M 1S
24,32,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
24,35,35M 44S
26,35,34M 22S
26,38,34M 5S
27,38,33M 53S
27,40,33M 40S
28,40,33M 24S
29,40,33M 3S
30,40,33M 3S
32,40,32M 36S
32,42,32M 6S
32,44,31M 38S
34,44,31M 13S
34,46,30M 34S
37,46,30M 14S
37,49,29M 56S
39,49,29M 39S
42,49,29M 7S
42,52,28M 47S
44,52,28M 24S
45,52,28M 24S
45,54,28M 6S
47,54,27M 55S
47,55,27M 42S
47,56,27M 42S
49,56,27M 27S
49,58,26M 59S
50,58,26M 59S
52,58,26M 43S
52,60,26M 21S
54,60,26M 2S
54,61,25M 48S
54,62,25M 48S
56,62,25M 38S
56,64,25M 27S
56,67,24M 58S
58,67,24M 49S
58,70,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,73,23M 41S
58,75,23M 20S
58,77,22M 45S
58,78,22M 45S
60,78,22M 13S
60,81,21M 20S
60,84,20M 31S
62,84,20M 4S
63,84,20M 4S
63,86,19M 48S
63,88,19M 31S
65,88,19M 15S
65,90,19M 3S
65,92,18M 23S
65,93,18M 23S
68,93,18M 5S
69,93,17M 44S
70,93,17M 44S
70,95,17M 32S
72,95,16M 45S
72,98,16M 18S
74,98,16M 2S
74,99,15M 25S
76,99,15M 8S
76,100,14M 58S
79,100,14M 39S
79,101,14M 32S
79,102,14M 32S
82,102,14M 18S
82,104,14M 3S
84,104,13M 51S
87,104,13M 16S
87,105,13M 3S
87,106,13M 3S
88,106,12M 4S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,107,11M 15S
88,108,11M 15S
88,111,10M 43S
90,111,10M 26S
90,113,10M 7S
93,113,7M 53S
93,114,7M 28S
93,115,7M 28S
93,116,7M 28S
95,116,7M 17S
97,116,6M 47S
97,118,6M 23S
97,120,5M 31S
99,120,5M 21S
99,122,4M 55S
101,122,4M 40S
101,124,4M 25S
101,125,3M 53S
101,126,3M 53S
103,126,3M 38S
105,126,2M 54S
106,126,2M 54S
106,128,2M 37S
108,128,1M 54S
109,128,1M 54S
111,128,24S
End of 4th quarter,NA,0S
