Washington,Miami,time_rem
5-13,7-14,48M 0S
3,0,47M 42S
6,0,47M 16S
6,3,46M 57S
6,5,46M 39S
6,6,46M 13S
6,7,46M 13S
6,9,45M 45S
6,10,45M 24S
6,11,45M 24S
6,13,44M 58S
8,13,44M 37S
9,13,44M 18S
10,13,44M 18S
10,15,44M 9S
12,15,43M 50S
12,17,43M 37S
12,19,43M 6S
12,20,43M 6S
13,20,42M 56S
14,20,42M 56S
17,20,42M 4S
20,20,41M 24S
20,22,41M 14S
20,23,41M 14S
22,23,40M 39S
22,25,39M 53S
25,25,39M 32S
25,26,39M 6S
25,27,39M 6S
26,27,38M 56S
28,27,38M 26S
28,29,38M 10S
28,30,37M 49S
28,32,37M 20S
29,32,36M 49S
31,32,36M 24S
31,34,36M 7S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,34,34M 51S
33,37,34M 28S
36,37,34M 10S
36,40,33M 50S
38,40,33M 8S
40,40,32M 38S
40,43,32M 17S
41,43,31M 45S
42,43,31M 45S
42,45,31M 31S
42,47,31M 0S
44,47,29M 53S
47,47,29M 24S
47,49,29M 1S
50,49,28M 43S
50,51,28M 32S
50,54,27M 25S
50,56,26M 40S
50,57,26M 20S
53,57,25M 59S
53,59,25M 40S
53,62,25M 20S
53,65,24M 49S
55,65,24M 39S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,68,22M 58S
57,68,22M 36S
59,68,22M 2S
Jump ball: B. Beal vs. B. Adebayo (D. Avdija gains possession),NA,21M 50S
59,71,21M 27S
61,71,20M 2S
62,71,18M 49S
65,71,16M 49S
65,73,16M 34S
67,73,16M 13S
70,73,15M 17S
72,73,14M 32S
72,76,14M 21S
75,76,14M 0S
77,76,13M 34S
77,77,13M 14S
77,80,12M 47S
77,82,12M 11S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
80,82,11M 36S
81,82,10M 32S
81,83,9M 53S
83,83,9M 31S
84,83,9M 1S
85,83,9M 1S
85,85,8M 47S
88,85,8M 30S
88,87,8M 13S
90,87,7M 52S
93,87,7M 4S
93,88,6M 44S
93,89,6M 44S
95,89,6M 20S
96,89,5M 22S
96,90,5M 4S
96,91,5M 4S
96,93,4M 41S
96,95,4M 11S
98,95,3M 37S
98,98,3M 19S
99,98,2M 42S
100,98,2M 42S
101,98,1M 34S
101,100,1M 26S
Jump ball: K. Olynyk vs. R. Hachimura (T. Herro gains possession),NA,51S
102,100,5S
103,100,5S
End of 4th quarter,NA,0S
