Phoenix,Houston,time_rem
8-5,4-9,48M 0S
0,0,47M 45S
0,2,47M 20S
2,2,46M 52S
4,2,46M 33S
4,4,45M 58S
4,6,45M 39S
6,6,45M 18S
6,8,44M 54S
8,8,44M 29S
11,8,44M 3S
11,10,43M 26S
13,10,42M 18S
13,12,41M 50S
15,12,41M 38S
15,14,41M 24S
16,14,40M 39S
17,14,40M 39S
17,16,40M 15S
17,18,39M 56S
19,18,39M 34S
20,18,39M 1S
21,18,39M 1S
22,18,39M 1S
24,18,38M 23S
25,18,37M 44S
25,19,37M 31S
25,21,36M 59S
27,21,36M 46S
27,23,36M 32S
30,23,36M 9S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,25,35M 26S
32,25,34M 45S
32,28,34M 33S
32,29,34M 33S
34,29,34M 1S
36,29,33M 28S
36,31,32M 59S
38,31,32M 47S
39,31,32M 47S
41,31,32M 17S
41,34,32M 3S
41,35,31M 6S
44,35,30M 42S
44,37,30M 17S
44,40,29M 51S
Jump ball: C. Wood vs. D. Ayton (M. Jones gains possession),NA,29M 15S
47,40,28M 46S
50,40,28M 24S
52,40,28M 11S
54,40,27M 46S
55,40,27M 46S
57,40,26M 45S
57,42,26M 4S
59,42,25M 46S
59,43,25M 9S
59,45,24M 48S
59,48,24M 33S
60,48,24M 31S
61,48,24M 31S
62,48,24M 15S
63,48,24M 15S
63,51,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
65,51,23M 46S
65,54,22M 18S
67,54,22M 2S
69,54,21M 38S
72,54,20M 43S
74,54,20M 4S
74,57,19M 46S
74,60,19M 10S
74,62,18M 47S
77,62,18M 28S
77,64,18M 11S
79,64,17M 40S
79,67,17M 23S
81,67,16M 36S
81,68,15M 59S
81,69,15M 59S
81,70,15M 59S
82,70,15M 40S
82,73,15M 24S
82,75,14M 50S
82,76,14M 29S
82,77,14M 29S
85,77,13M 37S
85,79,13M 8S
87,79,12M 54S
89,79,12M 37S
89,81,12M 19S
89,82,12M 19S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
89,84,11M 50S
91,84,10M 39S
93,84,10M 15S
95,84,9M 34S
97,84,7M 40S
99,84,7M 6S
99,86,6M 44S
101,86,6M 21S
101,87,5M 49S
101,88,5M 49S
101,90,4M 54S
101,91,4M 54S
101,92,4M 4S
101,93,4M 4S
101,95,3M 7S
103,95,2M 46S
103,96,2M 27S
103,97,2M 27S
103,99,1M 56S
103,101,1M 38S
104,101,1M 14S
105,101,1M 14S
106,101,45S
107,101,45S
107,102,37S
107,103,37S
109,103,15S
End of 4th quarter,NA,0S
