Washington,New York,time_rem
15-28,23-22,48M 0S
0,0,47M 42S
3,0,47M 26S
3,2,47M 7S
4,2,46M 53S
6,2,46M 26S
7,2,45M 52S
8,2,45M 52S
9,2,45M 52S
9,3,45M 32S
9,4,45M 32S
11,4,45M 18S
11,6,44M 40S
13,6,44M 2S
13,7,43M 9S
13,9,42M 30S
16,9,42M 14S
18,9,41M 52S
18,11,41M 6S
18,13,40M 41S
20,13,40M 23S
20,15,40M 5S
20,16,40M 5S
20,18,39M 9S
22,18,38M 51S
22,20,37M 41S
23,20,36M 43S
25,20,36M 23S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,20,35M 43S
29,20,35M 3S
31,20,34M 43S
33,20,34M 40S
35,20,34M 18S
35,22,33M 29S
35,24,32M 58S
35,25,32M 58S
36,25,32M 44S
38,25,32M 1S
38,27,31M 39S
41,27,31M 31S
41,29,31M 18S
41,32,30M 45S
41,33,29M 46S
41,34,29M 24S
43,34,29M 4S
45,34,28M 44S
45,35,28M 28S
45,36,28M 28S
47,36,28M 19S
48,36,28M 19S
50,36,28M 2S
52,36,27M 23S
52,37,27M 3S
53,37,26M 53S
54,37,26M 53S
54,39,26M 38S
55,39,26M 28S
56,39,26M 28S
56,41,26M 16S
56,42,25M 19S
56,43,25M 19S
57,43,25M 4S
58,43,25M 4S
60,43,24M 7S
60,45,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,47,23M 23S
63,47,22M 49S
63,48,21M 12S
63,50,20M 42S
64,50,20M 18S
65,50,20M 18S
65,53,19M 36S
67,53,18M 52S
68,53,18M 34S
68,54,18M 23S
71,54,18M 10S
71,55,16M 53S
71,56,16M 24S
71,57,16M 24S
71,58,15M 57S
71,59,15M 57S
73,59,15M 41S
75,59,15M 5S
75,62,14M 51S
78,62,14M 32S
78,64,14M 2S
78,65,12M 34S
78,67,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
78,69,11M 37S
78,71,10M 31S
80,71,10M 14S
80,74,9M 32S
82,74,9M 16S
82,75,9M 4S
82,76,9M 4S
82,79,8M 31S
82,81,8M 5S
84,81,7M 49S
86,81,7M 18S
86,82,7M 6S
86,84,6M 40S
86,85,6M 40S
87,85,6M 27S
89,85,6M 1S
91,85,5M 28S
91,88,5M 2S
91,90,4M 45S
91,91,4M 45S
91,94,4M 12S
91,96,2M 54S
92,96,2M 32S
92,98,2M 13S
94,98,1M 17S
94,100,29S
95,100,26S
96,100,26S
96,101,19S
96,102,19S
99,102,13S
99,103,9S
99,104,9S
102,104,5S
102,105,3S
102,106,3S
End of 4th quarter,NA,0S
