Brooklyn,LA Lakers,time_rem
19-12,22-8,48M 0S
0,0,47M 44S
0,2,46M 59S
0,5,46M 22S
3,5,45M 13S
5,5,44M 56S
5,7,44M 46S
7,7,44M 26S
7,10,43M 46S
7,12,43M 26S
7,13,43M 26S
10,13,43M 12S
10,16,42M 50S
12,16,42M 36S
13,16,42M 36S
14,16,42M 3S
16,16,41M 12S
16,18,40M 51S
18,18,40M 8S
18,20,39M 54S
21,20,39M 29S
23,20,38M 48S
23,22,38M 32S
25,22,38M 16S
28,22,37M 15S
28,24,36M 57S
31,24,36M 24S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,24,35M 43S
34,26,35M 27S
34,28,35M 8S
37,28,34M 46S
38,28,34M 14S
40,28,33M 19S
40,30,32M 56S
41,30,31M 53S
42,30,31M 53S
42,32,31M 20S
42,33,31M 20S
44,33,30M 59S
46,33,30M 32S
46,35,30M 3S
46,37,29M 32S
49,37,29M 13S
49,39,29M 0S
52,39,28M 44S
52,41,28M 21S
55,41,28M 1S
58,41,27M 35S
60,41,27M 8S
60,42,27M 0S
60,43,27M 0S
62,43,26M 44S
62,45,26M 34S
62,48,25M 54S
62,50,25M 10S
62,51,24M 47S
62,53,24M 13S
63,53,24M 1S
64,53,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
67,53,22M 48S
70,53,22M 6S
70,55,21M 38S
70,57,20M 19S
71,57,20M 6S
71,59,19M 57S
71,61,18M 52S
72,61,18M 14S
72,63,17M 51S
75,63,17M 34S
75,65,17M 10S
76,65,17M 5S
77,65,17M 5S
80,65,16M 39S
82,65,16M 6S
82,67,15M 47S
84,67,15M 23S
87,67,15M 6S
87,68,14M 33S
87,69,14M 33S
88,69,13M 31S
89,69,13M 31S
89,72,13M 15S
89,74,12M 48S
90,74,12M 27S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
92,74,10M 58S
94,74,10M 23S
96,74,9M 53S
99,74,9M 20S
99,76,9M 4S
99,79,7M 45S
99,81,6M 44S
101,81,6M 16S
103,81,5M 48S
103,83,5M 2S
103,84,4M 21S
103,85,4M 21S
105,85,4M 5S
105,87,2M 25S
105,88,2M 25S
105,90,1M 56S
105,93,1M 40S
106,93,1M 25S
106,96,38S
109,96,23S
109,98,14S
End of 4th quarter,NA,0S
