Cleveland,Atlanta,time_rem
14-24,19-20,48M 0S
0,0,47M 38S
0,1,47M 38S
0,2,47M 38S
2,2,47M 16S
2,5,46M 33S
4,5,45M 30S
4,7,45M 16S
4,9,44M 42S
4,10,44M 7S
4,11,44M 7S
4,13,43M 40S
6,13,43M 24S
8,13,42M 21S
8,15,42M 5S
8,17,40M 36S
10,17,40M 25S
10,18,40M 8S
10,19,40M 8S
10,21,39M 37S
12,21,39M 25S
14,21,38M 51S
17,21,38M 13S
17,22,37M 52S
17,23,37M 52S
19,23,36M 54S
19,26,36M 30S
22,26,36M 13S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,26,35M 1S
27,26,34M 6S
29,26,33M 41S
31,26,33M 21S
31,27,33M 3S
31,28,33M 3S
33,28,32M 45S
33,31,32M 26S
35,31,30M 41S
35,33,30M 24S
37,33,30M 13S
37,34,29M 58S
37,35,29M 58S
39,35,29M 37S
39,38,28M 17S
39,39,27M 47S
41,39,26M 38S
41,41,26M 12S
41,43,25M 52S
42,43,25M 40S
42,46,25M 29S
44,46,25M 2S
45,46,24M 32S
45,49,24M 12S
46,49,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
47,49,22M 55S
48,49,22M 55S
48,51,22M 42S
51,51,21M 22S
53,51,20M 23S
53,52,19M 50S
53,53,19M 50S
53,55,19M 5S
53,58,18M 32S
54,58,17M 32S
54,60,17M 15S
55,60,16M 55S
55,62,16M 16S
58,62,16M 3S
59,62,15M 40S
60,62,15M 40S
60,64,15M 15S
60,67,14M 21S
63,67,13M 15S
65,67,12M 53S
66,67,12M 38S
66,68,12M 26S
66,69,12M 26S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
Jump ball: S. Hill vs. L. Nance (R. Rondo gains possession),NA,11M 30S
66,70,11M 18S
66,71,11M 18S
66,72,10M 53S
66,73,10M 53S
66,74,10M 37S
66,77,10M 10S
66,79,9M 11S
66,81,8M 42S
68,81,7M 55S
68,83,7M 30S
68,86,6M 45S
68,87,6M 22S
68,89,5M 45S
70,89,4M 32S
70,92,4M 9S
73,92,3M 41S
73,94,3M 25S
73,95,3M 25S
75,95,2M 33S
75,98,2M 8S
75,100,1M 42S
77,100,1M 32S
80,100,50S
81,100,27S
82,100,27S
End of 4th quarter,NA,0S
