Milwaukee,Atlanta,time_rem
2-1,1-2,48M 0S
0,0,47M 39S
0,2,47M 33S
0,4,46M 43S
0,7,46M 15S
2,7,45M 53S
2,10,45M 16S
2,12,44M 31S
2,15,44M 2S
4,15,43M 42S
4,17,43M 30S
6,17,43M 16S
8,17,43M 1S
8,20,42M 38S
8,22,41M 53S
10,22,41M 39S
10,25,41M 14S
12,25,40M 41S
14,25,39M 57S
16,25,39M 11S
16,27,38M 56S
18,27,38M 48S
19,27,38M 22S
20,27,38M 22S
20,29,38M 5S
22,29,37M 54S
23,29,37M 23S
25,29,37M 4S
25,32,36M 12S
27,32,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,32,35M 15S
29,32,35M 15S
29,35,35M 2S
29,37,34M 42S
32,37,34M 27S
32,40,34M 13S
33,40,33M 5S
35,40,31M 58S
37,40,31M 2S
37,42,30M 41S
39,42,30M 28S
39,44,30M 22S
41,44,30M 0S
42,44,30M 0S
42,46,29M 9S
44,46,28M 54S
44,48,28M 29S
46,48,28M 17S
46,50,27M 51S
46,53,27M 8S
46,56,26M 39S
49,56,26M 30S
50,56,25M 53S
51,56,25M 53S
53,56,25M 20S
56,56,24M 12S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,58,23M 41S
56,60,22M 44S
58,60,22M 29S
58,62,21M 46S
58,65,21M 8S
60,65,20M 50S
60,67,20M 32S
63,67,20M 22S
63,70,20M 4S
66,70,19M 45S
66,72,19M 22S
66,73,19M 22S
68,73,19M 10S
70,73,18M 1S
70,76,17M 2S
72,76,16M 46S
72,77,15M 58S
72,78,15M 58S
75,78,15M 44S
75,79,15M 28S
75,80,15M 28S
78,80,15M 8S
80,80,14M 23S
82,80,13M 47S
82,81,13M 28S
82,82,13M 28S
82,85,13M 3S
83,85,12M 29S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,85,11M 40S
86,86,11M 26S
86,87,11M 26S
86,89,10M 49S
88,89,10M 11S
88,91,9M 46S
88,93,9M 29S
Jump ball: G. Antetokounmpo vs. O. Okongwu (K. Middleton gains possession),NA,8M 44S
88,95,7M 32S
91,95,7M 12S
93,95,6M 51S
96,95,6M 14S
96,98,5M 52S
98,98,5M 39S
101,98,5M 13S
103,98,4M 27S
103,100,3M 56S
105,100,3M 38S
107,100,3M 8S
109,100,1M 44S
110,100,1M 32S
110,102,1M 24S
112,102,1M 1S
113,102,45S
End of 4th quarter,NA,0S
