Miami,Portland,time_rem
28-25,31-22,48M 0S
0,0,47M 43S
2,0,47M 39S
3,0,46M 30S
3,2,46M 14S
3,4,45M 34S
3,6,45M 19S
3,9,44M 52S
3,11,44M 28S
5,11,43M 40S
6,11,43M 2S
6,13,42M 50S
9,13,42M 36S
9,15,42M 17S
9,17,41M 43S
11,17,41M 24S
11,20,41M 12S
13,20,40M 15S
13,22,39M 41S
15,22,39M 20S
15,23,39M 4S
15,24,39M 4S
17,24,38M 55S
17,25,38M 46S
17,26,38M 46S
19,26,38M 30S
19,29,38M 6S
21,29,37M 26S
22,29,37M 10S
23,29,37M 10S
Jump ball: D. Lillard vs. J. Butler (E. Freedom gains possession),NA,36M 25S
23,31,36M 23S
25,31,36M 4S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,31,35M 38S
28,33,35M 8S
30,33,34M 42S
32,33,34M 1S
32,35,33M 47S
34,35,33M 27S
Jump ball: J. Butler vs. C. Anthony (G. Dragić gains possession),NA,32M 21S
36,35,31M 59S
36,37,31M 36S
38,37,31M 4S
38,38,30M 52S
41,38,30M 30S
41,41,30M 14S
44,41,29M 32S
47,41,28M 57S
48,41,27M 50S
48,44,27M 28S
48,46,26M 33S
50,46,25M 55S
52,46,25M 35S
52,48,25M 27S
54,48,25M 4S
56,48,24M 15S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,49,23M 45S
56,50,23M 45S
58,50,23M 25S
59,50,23M 5S
60,50,23M 5S
63,50,22M 1S
64,50,21M 13S
65,50,21M 13S
65,53,20M 58S
67,53,20M 33S
67,55,20M 3S
69,55,19M 45S
69,57,19M 16S
71,57,18M 59S
71,59,18M 48S
74,59,17M 31S
76,59,17M 6S
76,62,16M 47S
76,65,16M 24S
79,65,15M 34S
80,65,14M 58S
80,66,14M 44S
83,66,14M 8S
83,68,13M 59S
86,68,13M 35S
86,70,12M 40S
86,71,12M 27S
89,71,12M 10S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
91,71,10M 29S
91,73,9M 38S
93,73,8M 44S
93,75,8M 31S
Jump ball: P. Achiuwa vs. E. Freedom (G. Dragić gains possession),NA,7M 49S
94,75,7M 17S
94,77,7M 3S
94,78,6M 27S
95,78,6M 17S
97,78,5M 11S
97,80,4M 57S
99,80,4M 34S
99,83,4M 23S
100,83,4M 4S
100,86,3M 51S
100,87,3M 16S
103,87,2M 51S
103,89,2M 40S
105,89,2M 19S
105,90,2M 7S
105,91,2M 7S
107,91,1M 34S
107,94,1M 24S
107,96,1M 3S
107,98,37S
End of 4th quarter,NA,0S
