Detroit,Washington,time_rem
12-33,16-28,48M 0S
0,0,47M 46S
2,0,47M 23S
2,2,47M 1S
5,2,46M 43S
5,4,46M 29S
7,4,45M 31S
7,6,45M 11S
9,6,44M 57S
11,6,44M 26S
11,8,44M 8S
14,8,43M 41S
14,11,42M 57S
14,14,42M 27S
16,14,42M 0S
16,16,41M 31S
16,18,40M 51S
16,20,40M 30S
19,20,40M 17S
19,22,40M 1S
19,24,38M 34S
19,25,38M 19S
19,27,37M 59S
19,29,37M 34S
21,29,37M 22S
21,31,37M 5S
22,31,36M 44S
22,33,36M 33S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
22,35,35M 4S
24,35,34M 53S
24,37,34M 42S
26,37,34M 28S
27,37,34M 28S
27,39,33M 40S
27,41,33M 6S
27,42,32M 27S
27,43,32M 27S
29,43,30M 58S
30,43,30M 34S
31,43,30M 34S
31,46,30M 13S
31,48,29M 34S
33,48,29M 14S
33,50,28M 55S
35,50,28M 44S
35,52,27M 56S
37,52,27M 26S
37,54,27M 14S
37,55,27M 14S
37,58,26M 49S
39,58,26M 39S
39,59,26M 17S
39,60,26M 17S
41,60,25M 54S
41,63,24M 56S
41,66,24M 29S
41,68,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
41,70,23M 46S
44,70,23M 29S
44,72,21M 28S
44,74,21M 7S
46,74,20M 57S
47,74,20M 36S
49,74,19M 45S
50,74,19M 18S
51,74,19M 18S
54,74,18M 42S
54,76,18M 19S
57,76,18M 10S
60,76,17M 39S
62,76,16M 11S
64,76,15M 11S
65,76,14M 48S
66,76,14M 48S
69,76,14M 17S
69,78,13M 56S
69,79,13M 56S
70,79,13M 45S
71,79,13M 45S
73,79,12M 30S
74,79,12M 1S
75,79,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
75,82,11M 31S
77,82,10M 54S
79,82,10M 13S
79,84,9M 9S
79,86,8M 45S
79,88,8M 7S
79,91,5M 58S
81,91,5M 37S
81,92,5M 15S
81,93,5M 15S
83,93,5M 4S
83,95,4M 42S
83,97,4M 26S
83,99,3M 46S
83,101,3M 5S
84,101,2M 28S
85,101,2M 28S
88,101,2M 3S
88,104,1M 38S
88,106,58S
89,106,28S
92,106,0S
End of 4th quarter,NA,0S
