Washington,New Orleans,time_rem
3-11,6-10,48M 0S
0,0,47M 37S
0,2,46M 11S
0,4,45M 29S
2,4,44M 48S
2,7,43M 57S
5,7,43M 41S
5,10,43M 22S
5,12,43M 0S
8,12,42M 46S
8,15,42M 29S
10,15,42M 12S
10,17,42M 2S
12,17,40M 32S
12,20,39M 45S
14,20,39M 11S
14,23,39M 3S
14,26,38M 32S
14,28,38M 15S
16,28,37M 11S
16,30,36M 53S
16,32,36M 36S
17,32,36M 28S
18,32,36M 28S
18,34,36M 6S
18,35,36M 6S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
18,36,35M 44S
20,36,34M 28S
21,36,34M 7S
22,36,34M 7S
22,38,33M 48S
24,38,33M 30S
26,38,33M 11S
27,38,33M 11S
27,39,32M 3S
30,39,31M 50S
30,41,31M 33S
30,42,31M 33S
30,44,30M 58S
30,46,30M 20S
32,46,30M 8S
32,48,29M 44S
33,48,29M 22S
34,48,29M 22S
34,51,28M 48S
36,51,28M 29S
36,54,28M 12S
36,56,27M 44S
38,56,27M 10S
39,56,27M 10S
41,56,26M 42S
41,58,26M 29S
41,60,26M 8S
41,63,25M 34S
41,64,25M 34S
43,64,24M 54S
45,64,24M 30S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
45,66,23M 47S
45,67,23M 47S
45,70,23M 28S
48,70,22M 59S
48,72,22M 42S
48,74,21M 29S
50,74,21M 15S
51,74,21M 15S
54,74,20M 40S
54,76,20M 17S
56,76,19M 33S
59,76,18M 20S
59,78,18M 6S
61,78,17M 39S
61,80,17M 17S
63,80,17M 8S
63,81,16M 41S
64,81,16M 28S
65,81,16M 28S
65,84,16M 11S
65,87,15M 45S
66,87,15M 32S
68,87,14M 45S
69,87,14M 45S
69,90,14M 19S
70,90,13M 50S
71,90,13M 50S
74,90,13M 25S
74,92,13M 0S
77,92,12M 47S
77,94,12M 35S
80,94,12M 18S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
81,94,11M 47S
82,94,11M 47S
82,95,11M 38S
82,97,11M 26S
82,98,10M 18S
82,99,10M 18S
85,99,9M 58S
87,99,9M 14S
90,99,8M 46S
90,102,8M 29S
92,102,8M 4S
92,103,7M 24S
95,103,7M 2S
95,106,6M 46S
98,106,6M 29S
98,108,6M 16S
100,108,5M 59S
100,109,5M 38S
100,110,5M 38S
100,113,4M 48S
102,113,4M 6S
102,114,3M 10S
102,115,3M 10S
102,117,2M 47S
102,120,1M 56S
103,120,1M 42S
104,120,1M 42S
104,122,49S
104,124,31S
106,124,14S
End of 4th quarter,NA,0S
