Boston,Charlotte,time_rem
32-29,30-30,48M 0S
2,0,47M 40S
2,2,47M 25S
2,4,47M 5S
3,4,46M 51S
3,7,46M 25S
5,7,46M 9S
5,10,45M 54S
5,12,45M 41S
5,15,45M 10S
8,15,44M 11S
8,18,43M 51S
8,21,43M 12S
8,23,42M 46S
10,23,42M 24S
12,23,41M 59S
12,26,41M 51S
14,26,40M 8S
15,26,39M 26S
16,26,39M 26S
16,28,38M 35S
19,28,38M 14S
19,30,37M 59S
19,31,37M 59S
19,33,37M 35S
20,33,37M 20S
21,33,37M 20S
23,33,36M 49S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
23,36,35M 13S
26,36,34M 59S
26,38,34M 32S
26,40,33M 46S
28,40,33M 0S
28,42,32M 52S
31,42,32M 36S
31,45,32M 22S
31,47,30M 58S
31,49,29M 47S
33,49,29M 22S
33,52,29M 8S
34,52,28M 54S
37,52,28M 24S
40,52,27M 42S
40,53,27M 16S
40,54,27M 16S
40,57,26M 45S
42,57,26M 33S
43,57,26M 33S
43,60,26M 7S
46,60,25M 52S
48,60,25M 26S
48,63,25M 1S
49,63,24M 45S
50,63,24M 45S
52,63,24M 26S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
53,63,23M 9S
54,63,23M 9S
56,63,22M 38S
56,65,21M 59S
58,65,21M 36S
58,68,21M 27S
58,70,20M 56S
59,70,20M 42S
59,72,20M 25S
61,72,20M 16S
61,75,20M 7S
63,75,19M 47S
63,76,19M 42S
63,77,19M 42S
63,79,19M 6S
63,82,18M 39S
66,82,18M 28S
69,82,18M 15S
69,84,17M 53S
70,84,17M 41S
71,84,17M 41S
72,84,17M 24S
73,84,17M 24S
75,84,17M 10S
75,86,16M 58S
77,86,16M 44S
77,88,16M 28S
79,88,15M 56S
79,91,15M 47S
Jump ball: P. Washington vs. G. Williams (P. Washington gains possession),NA,15M 13S
81,91,14M 55S
81,93,14M 32S
84,93,14M 1S
84,95,13M 43S
87,95,12M 47S
87,96,12M 34S
87,97,12M 34S
88,97,12M 29S
88,100,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,101,11M 26S
88,102,11M 26S
89,102,11M 6S
90,102,11M 6S
90,104,10M 34S
90,106,10M 5S
93,106,9M 9S
93,107,8M 59S
93,110,8M 8S
95,110,7M 25S
96,110,7M 25S
96,113,5M 48S
96,115,4M 8S
96,118,3M 45S
99,118,3M 27S
99,120,2M 35S
100,120,1M 46S
101,120,1M 46S
101,122,1M 28S
101,125,1M 9S
104,125,52S
End of 4th quarter,NA,0S
