Golden State,New York,time_rem
17-15,15-17,48M 0S
3,0,47M 46S
6,0,47M 6S
6,2,46M 43S
6,4,46M 18S
8,4,46M 0S
8,6,45M 45S
10,6,45M 22S
10,8,44M 33S
12,8,44M 19S
13,8,43M 54S
13,10,43M 45S
15,10,43M 37S
15,12,43M 26S
18,12,42M 51S
19,12,42M 24S
20,12,42M 24S
20,13,41M 20S
20,14,41M 20S
23,14,41M 11S
23,17,40M 42S
23,20,40M 7S
23,22,39M 14S
26,22,38M 40S
26,24,38M 22S
28,24,38M 9S
30,24,37M 47S
30,27,37M 21S
32,27,37M 9S
32,29,36M 45S
33,29,36M 42S
33,31,36M 31S
36,31,36M 20S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,33,35M 43S
36,35,35M 20S
36,38,34M 31S
38,38,33M 40S
38,40,33M 10S
41,40,32M 46S
41,42,32M 36S
43,42,32M 17S
44,42,32M 17S
44,45,31M 41S
44,47,30M 59S
46,47,29M 42S
46,49,29M 4S
48,49,28M 54S
48,51,28M 44S
48,53,27M 28S
50,53,27M 14S
50,54,26M 45S
50,55,26M 45S
53,55,26M 19S
55,55,25M 48S
55,56,25M 34S
55,57,25M 34S
55,59,24M 46S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,59,23M 39S
58,59,23M 39S
61,59,22M 40S
63,59,22M 3S
64,59,21M 51S
65,59,21M 51S
65,61,21M 18S
67,61,21M 6S
69,61,20M 22S
69,63,19M 56S
71,63,19M 40S
71,64,19M 24S
71,65,19M 24S
73,65,19M 13S
75,65,18M 48S
78,65,18M 12S
78,67,17M 22S
79,67,17M 11S
80,67,17M 11S
80,69,16M 46S
81,69,16M 35S
82,69,16M 35S
82,71,16M 16S
82,74,15M 50S
84,74,15M 39S
86,74,15M 8S
86,77,14M 58S
86,80,14M 37S
89,80,14M 9S
89,81,13M 54S
89,82,13M 54S
92,82,13M 43S
92,85,12M 50S
94,85,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
94,86,9M 51S
94,87,9M 51S
95,87,9M 29S
95,89,8M 1S
95,92,7M 0S
97,92,6M 36S
97,94,4M 21S
97,95,4M 21S
97,97,3M 50S
100,97,3M 38S
100,98,2M 16S
100,99,2M 16S
102,99,2M 0S
102,100,1M 26S
104,100,1M 22S
105,100,1M 22S
105,101,1M 12S
105,102,1M 12S
106,102,59S
107,102,59S
107,103,41S
109,103,30S
110,103,17S
111,103,17S
112,103,17S
112,106,12S
113,106,10S
114,106,10S
End of 4th quarter,NA,0S
