Portland,Indiana,time_rem
33-28,29-32,48M 0S
0,0,47M 44S
2,0,47M 13S
2,2,46M 26S
2,5,46M 0S
4,5,45M 25S
4,7,45M 15S
4,9,44M 55S
6,9,44M 17S
8,9,43M 42S
8,10,43M 34S
8,11,43M 34S
8,13,42M 26S
11,13,42M 5S
13,13,41M 39S
13,16,41M 31S
15,16,41M 12S
15,19,41M 2S
17,19,40M 16S
17,22,40M 5S
19,22,39M 47S
19,24,39M 39S
22,24,39M 23S
22,26,38M 58S
23,26,38M 44S
24,26,38M 44S
27,26,38M 10S
27,28,37M 55S
30,28,37M 46S
30,29,37M 30S
30,30,37M 30S
31,30,37M 22S
32,30,37M 22S
32,32,37M 15S
32,33,37M 15S
34,33,36M 30S
34,35,36M 18S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,37,35M 44S
36,37,34M 33S
36,39,34M 18S
38,39,34M 0S
38,42,33M 46S
40,42,33M 31S
41,42,33M 31S
41,44,33M 19S
43,44,33M 8S
43,46,32M 55S
46,46,32M 40S
48,46,32M 10S
48,48,31M 32S
49,48,31M 7S
50,48,31M 7S
50,50,30M 22S
53,50,30M 8S
53,51,29M 52S
53,52,29M 52S
55,52,29M 27S
55,53,28M 57S
58,53,28M 22S
60,53,27M 58S
62,53,27M 18S
62,55,27M 2S
65,55,26M 51S
68,55,26M 9S
71,55,25M 43S
71,57,25M 28S
73,57,25M 12S
73,58,24M 39S
73,59,24M 39S
73,62,24M 25S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
73,63,24M 0S
73,65,22M 41S
75,65,22M 26S
78,65,21M 55S
78,66,21M 41S
78,68,21M 33S
80,68,21M 18S
82,68,20M 43S
83,68,19M 28S
84,68,19M 28S
85,68,19M 28S
85,69,19M 18S
85,70,19M 18S
88,70,19M 5S
88,72,18M 32S
90,72,17M 36S
90,74,17M 26S
93,74,16M 28S
96,74,15M 56S
98,74,15M 29S
101,74,15M 14S
103,74,14M 36S
103,76,13M 44S
104,76,13M 27S
105,76,13M 27S
108,76,13M 10S
111,76,12M 46S
111,78,12M 18S
113,78,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
116,78,11M 15S
119,78,10M 35S
121,78,9M 43S
121,80,9M 28S
121,82,9M 1S
123,82,8M 41S
123,83,8M 32S
123,85,7M 55S
126,85,7M 12S
126,87,6M 57S
127,87,5M 53S
127,90,5M 44S
129,90,5M 25S
129,91,5M 11S
129,92,4M 44S
129,94,4M 30S
129,97,4M 0S
131,97,3M 34S
131,99,3M 19S
131,100,2M 26S
131,102,2M 23S
131,105,1M 58S
131,108,1M 40S
131,109,1M 12S
131,110,1M 12S
131,111,51S
131,112,51S
133,112,24S
End of 4th quarter,NA,0S
