Atlanta,Philadelphia,time_rem
4-3,3-4,48M 0S
0,0,47M 38S
2,0,47M 19S
2,2,47M 0S
5,2,46M 39S
7,2,46M 9S
7,3,45M 57S
7,4,45M 57S
7,6,45M 39S
9,6,44M 51S
11,6,44M 10S
11,8,43M 27S
11,11,43M 1S
13,11,42M 43S
13,13,42M 22S
13,15,41M 42S
14,15,41M 29S
15,15,41M 29S
15,17,41M 10S
17,17,40M 55S
19,17,39M 25S
19,20,38M 22S
21,20,38M 5S
21,21,37M 56S
21,22,37M 56S
23,22,37M 36S
23,25,37M 18S
24,25,36M 39S
25,25,36M 39S
25,26,36M 30S
25,28,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,28,35M 26S
27,28,35M 26S
30,28,34M 21S
33,28,33M 28S
33,30,32M 47S
33,31,32M 47S
36,31,32M 4S
36,33,31M 33S
36,35,30M 24S
36,36,30M 17S
38,36,30M 5S
38,38,29M 14S
39,38,28M 35S
40,38,28M 35S
40,40,28M 17S
42,40,27M 17S
42,43,26M 19S
45,43,25M 58S
45,44,25M 23S
46,44,25M 2S
47,44,25M 2S
47,45,24M 52S
47,46,24M 52S
48,46,24M 29S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
48,49,23M 40S
48,50,23M 19S
48,51,23M 19S
50,51,22M 47S
51,51,22M 47S
52,51,22M 19S
52,53,22M 3S
54,53,21M 52S
56,53,21M 8S
56,56,20M 27S
58,56,19M 39S
58,58,18M 58S
60,58,18M 38S
60,60,18M 23S
62,60,17M 34S
62,63,17M 6S
64,63,16M 45S
64,64,16M 20S
64,65,16M 20S
65,65,15M 0S
66,65,15M 0S
68,65,14M 47S
70,65,13M 59S
70,67,13M 36S
70,69,13M 4S
72,69,12M 57S
74,69,12M 38S
76,69,12M 11S
76,70,12M 5S
76,71,12M 5S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
76,73,11M 43S
76,76,10M 39S
77,76,10M 25S
77,78,10M 10S
77,80,7M 46S
77,81,7M 46S
80,81,7M 10S
80,84,6M 48S
82,84,6M 31S
84,84,5M 55S
86,84,5M 11S
86,86,4M 14S
88,86,3M 48S
88,87,3M 29S
90,87,3M 8S
93,87,2M 31S
93,89,2M 20S
93,90,1M 48S
93,92,1M 12S
94,92,54S
95,92,54S
96,92,54S
98,92,41S
98,94,36S
99,94,34S
100,94,25S
101,94,25S
101,96,17S
102,96,17S
103,96,17S
End of 4th quarter,NA,0S
