Minnesota,Utah,time_rem
2-0,1-1,48M 0S
0,2,47M 45S
0,4,47M 14S
2,4,46M 28S
2,6,46M 9S
5,6,44M 59S
7,6,44M 19S
7,8,43M 51S
9,8,43M 38S
9,10,43M 24S
Jump ball: D. Mitchell vs. D. Russell (B. Bogdanović gains possession),NA,43M 16S
11,10,42M 29S
11,11,42M 28S
11,12,42M 28S
12,12,42M 12S
12,15,41M 51S
13,15,41M 40S
14,15,41M 40S
15,15,41M 27S
18,15,41M 6S
20,15,40M 35S
22,15,40M 19S
24,15,39M 36S
24,17,39M 25S
25,17,39M 7S
26,17,39M 7S
26,18,38M 46S
26,19,38M 46S
28,19,37M 54S
28,22,37M 34S
28,25,37M 9S
31,25,36M 44S
31,27,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,28,35M 34S
31,29,35M 34S
34,29,35M 17S
37,29,34M 42S
37,30,34M 30S
37,31,34M 30S
37,33,34M 5S
37,34,34M 5S
39,34,33M 23S
40,34,32M 45S
40,37,32M 12S
42,37,31M 45S
42,38,31M 25S
42,39,31M 25S
44,39,31M 15S
44,41,31M 4S
47,41,30M 26S
49,41,29M 43S
49,43,29M 11S
52,43,28M 56S
54,43,28M 33S
54,45,28M 15S
54,46,27M 49S
57,46,26M 42S
57,49,26M 33S
57,51,26M 2S
60,51,25M 55S
62,51,25M 33S
62,52,25M 14S
62,53,25M 14S
65,53,24M 57S
68,53,24M 7S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
70,53,23M 41S
70,55,23M 1S
70,57,22M 42S
70,58,22M 42S
72,58,21M 15S
72,61,20M 56S
72,62,20M 22S
74,62,18M 49S
74,63,18M 36S
74,64,18M 36S
76,64,18M 21S
76,66,17M 57S
78,66,17M 29S
80,66,17M 9S
80,67,16M 5S
83,67,15M 42S
83,68,15M 11S
83,69,15M 11S
86,69,14M 34S
86,70,13M 47S
86,72,13M 18S
86,73,13M 18S
86,75,12M 59S
87,75,12M 48S
88,75,12M 48S
88,77,12M 34S
88,79,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,81,11M 51S
90,81,11M 2S
90,83,10M 50S
92,83,10M 38S
92,86,9M 30S
94,86,9M 7S
94,89,9M 0S
96,89,8M 41S
98,89,8M 20S
98,90,8M 11S
98,91,8M 11S
98,93,7M 27S
100,93,7M 13S
101,93,7M 13S
103,93,6M 38S
103,95,5M 13S
105,95,4M 53S
105,97,4M 38S
107,97,4M 20S
107,100,2M 58S
107,103,2M 27S
109,103,2M 3S
111,103,1M 34S
111,105,1M 25S
111,106,57S
111,107,57S
113,107,37S
113,108,33S
113,109,33S
113,111,5S
114,111,4S
115,111,3S
116,111,3S
End of 4th quarter,NA,0S
