Memphis,Minnesota,time_rem
33-32,20-46,48M 0S
0,0,47M 39S
2,0,46M 30S
2,2,46M 18S
4,2,46M 5S
5,2,46M 5S
5,5,45M 44S
6,5,45M 33S
7,5,45M 33S
7,7,45M 23S
8,7,44M 56S
9,7,44M 56S
11,7,44M 23S
14,7,43M 58S
15,7,43M 24S
16,7,43M 24S
16,9,43M 13S
16,12,42M 56S
16,14,42M 32S
18,14,42M 21S
18,16,41M 52S
19,16,41M 40S
20,16,41M 40S
21,16,41M 40S
21,19,41M 30S
23,19,41M 17S
23,21,41M 4S
23,23,40M 34S
23,24,40M 10S
23,27,39M 40S
26,27,39M 23S
Jump ball: J. Hernangómez vs. D. Melton (B. Clarke gains possession),NA,38M 39S
28,27,38M 22S
31,27,37M 35S
31,29,36M 59S
33,29,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,31,35M 46S
35,31,35M 23S
36,31,35M 23S
36,32,34M 54S
36,33,34M 54S
38,33,34M 43S
38,35,34M 23S
38,38,33M 53S
40,38,33M 32S
43,38,33M 16S
45,38,32M 58S
45,40,32M 42S
45,42,32M 8S
47,42,31M 57S
47,43,31M 43S
47,44,31M 43S
47,47,31M 10S
49,47,30M 53S
49,50,30M 39S
51,50,30M 25S
51,52,30M 14S
53,52,29M 51S
55,52,29M 30S
57,52,28M 48S
57,54,28M 20S
59,54,28M 3S
60,54,28M 3S
60,55,27M 54S
60,56,27M 54S
63,56,27M 32S
65,56,26M 55S
65,58,26M 44S
67,58,26M 30S
67,59,26M 23S
67,60,26M 23S
69,60,26M 7S
71,60,25M 35S
73,60,25M 10S
73,63,24M 19S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
74,63,23M 33S
74,66,23M 20S
77,66,22M 52S
79,66,22M 6S
79,67,21M 45S
79,68,21M 45S
79,69,21M 45S
81,69,21M 33S
81,72,21M 12S
83,72,20M 59S
83,75,20M 48S
83,77,20M 5S
86,77,19M 55S
86,79,19M 27S
86,81,19M 20S
88,81,19M 10S
88,82,18M 59S
88,84,18M 35S
88,87,18M 10S
88,90,17M 53S
88,93,17M 29S
89,93,17M 11S
90,93,17M 11S
90,94,17M 1S
90,95,17M 1S
92,95,16M 50S
93,95,16M 50S
93,98,16M 41S
95,98,15M 31S
96,98,15M 11S
97,98,15M 11S
97,100,14M 51S
99,100,14M 36S
100,100,14M 36S
102,100,13M 41S
102,103,13M 20S
105,103,12M 58S
107,103,12M 20S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
109,103,11M 13S
112,103,10M 34S
112,105,10M 20S
113,105,9M 28S
113,107,9M 16S
116,107,8M 59S
116,109,8M 49S
116,111,8M 29S
119,111,7M 36S
119,114,7M 16S
119,116,6M 50S
121,116,5M 59S
121,118,5M 37S
123,118,5M 2S
123,120,4M 42S
123,123,4M 7S
125,123,3M 52S
125,125,3M 41S
127,125,3M 26S
127,127,3M 4S
127,128,3M 4S
130,128,2M 46S
Jump ball: J. Vanderbilt vs. J. Morant (J. McDaniels gains possession),NA,1M 55S
132,128,1M 25S
132,130,1M 10S
135,130,55S
135,131,54S
135,132,54S
138,132,35S
138,135,9S
139,135,8S
End of 4th quarter,NA,0S
