Sacramento,Golden State,time_rem
3-4,4-3,48M 0S
0,0,47M 44S
0,2,47M 25S
0,5,46M 46S
0,8,46M 11S
1,8,46M 3S
3,8,45M 34S
4,8,44M 43S
4,10,44M 28S
5,10,43M 19S
5,12,43M 2S
7,12,42M 53S
7,14,42M 16S
7,16,41M 55S
7,19,41M 24S
7,21,41M 9S
9,21,40M 28S
10,21,40M 1S
11,21,40M 1S
11,24,39M 50S
11,25,39M 29S
11,26,39M 29S
14,26,39M 16S
14,29,39M 3S
14,30,38M 32S
17,30,38M 13S
17,32,37M 53S
17,34,37M 8S
18,34,36M 48S
19,34,36M 21S
20,34,36M 21S
20,35,36M 5S
20,36,36M 5S
20,37,36M 5S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
20,39,34M 44S
21,39,33M 56S
21,41,33M 34S
23,41,33M 24S
24,41,33M 24S
26,41,32M 27S
26,43,32M 10S
26,45,31M 21S
28,45,30M 57S
29,45,30M 34S
29,48,30M 16S
31,48,29M 55S
31,50,29M 15S
31,52,28M 44S
34,52,28M 30S
35,52,28M 18S
36,52,28M 18S
36,54,27M 59S
36,57,27M 42S
36,59,27M 12S
39,59,27M 0S
39,61,26M 39S
40,61,26M 31S
41,61,26M 31S
41,63,25M 54S
43,63,25M 43S
43,66,25M 31S
44,66,25M 18S
45,66,25M 18S
46,66,24M 59S
48,66,24M 31S
48,67,24M 22S
48,68,24M 22S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
50,68,23M 17S
50,70,22M 55S
50,73,21M 59S
52,73,21M 1S
55,73,20M 18S
55,76,19M 12S
58,76,19M 2S
58,77,18M 47S
58,78,18M 47S
60,78,18M 32S
63,78,18M 15S
63,81,17M 44S
64,81,17M 23S
65,81,17M 23S
65,83,16M 31S
65,84,16M 31S
67,84,16M 6S
68,84,15M 32S
69,84,15M 32S
69,87,15M 24S
69,88,15M 1S
69,90,14M 48S
70,90,14M 37S
71,90,14M 37S
71,92,14M 22S
71,95,13M 33S
73,95,12M 44S
73,98,12M 35S
74,98,12M 29S
75,98,12M 29S
75,100,12M 14S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
75,103,11M 32S
75,106,11M 5S
78,106,10M 44S
79,106,10M 3S
81,106,9M 38S
81,108,9M 25S
81,110,8M 14S
81,113,7M 48S
83,113,7M 33S
85,113,7M 2S
85,115,6M 21S
87,115,6M 2S
88,115,5M 22S
88,118,5M 10S
88,121,4M 53S
88,124,4M 30S
90,124,3M 46S
90,126,3M 14S
92,126,2M 50S
94,126,2M 26S
94,129,2M 14S
96,129,1M 58S
98,129,1M 41S
98,131,1M 24S
98,134,57S
101,134,50S
101,137,38S
103,137,30S
106,137,9S
End of 4th quarter,NA,0S
