Miami,Milwaukee,time_rem
39-32,46-25,48M 0S
0,0,47M 41S
0,2,47M 28S
3,2,47M 7S
3,5,46M 56S
Jump ball: B. Adebayo vs. G. Antetokounmpo (D. Robinson gains possession),NA,46M 22S
6,5,46M 16S
6,7,46M 1S
6,10,45M 43S
6,12,44M 53S
6,14,44M 20S
9,14,43M 55S
9,15,43M 43S
9,18,43M 10S
11,18,42M 59S
11,20,42M 48S
14,20,42M 2S
14,22,41M 47S
16,22,41M 29S
16,24,41M 6S
17,24,41M 1S
18,24,41M 1S
18,26,40M 46S
18,28,40M 7S
18,30,39M 36S
20,30,39M 9S
20,33,39M 1S
23,33,38M 46S
23,34,38M 13S
23,35,38M 13S
23,36,37M 53S
23,37,37M 53S
23,39,37M 23S
25,39,37M 12S
25,41,37M 2S
25,42,37M 2S
28,42,36M 47S
28,44,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,47,35M 13S
28,49,34M 52S
30,49,34M 16S
31,49,34M 16S
31,51,34M 3S
31,53,33M 31S
33,53,32M 23S
33,55,32M 10S
36,55,31M 59S
36,57,31M 44S
39,57,30M 31S
39,59,29M 49S
39,61,29M 17S
39,63,28M 54S
41,63,28M 22S
44,63,27M 57S
46,63,27M 36S
46,64,27M 25S
46,65,27M 25S
46,67,26M 50S
49,67,26M 10S
49,69,25M 37S
49,70,25M 1S
51,70,24M 45S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,70,23M 46S
57,70,22M 47S
57,73,22M 28S
59,73,22M 14S
60,73,22M 14S
63,73,21M 45S
63,74,21M 37S
63,75,21M 37S
63,76,21M 37S
63,78,21M 16S
63,80,20M 57S
65,80,19M 42S
67,80,19M 13S
67,83,18M 56S
67,86,18M 7S
70,86,17M 46S
72,86,17M 17S
74,86,16M 48S
74,88,15M 52S
74,89,15M 28S
74,90,15M 28S
77,90,15M 9S
77,91,14M 47S
77,94,14M 13S
80,94,13M 56S
80,97,13M 39S
81,97,12M 54S
81,99,12M 17S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
81,101,11M 41S
84,101,11M 9S
84,103,10M 53S
84,104,10M 53S
86,104,10M 0S
87,104,10M 0S
87,105,9M 41S
90,105,9M 22S
92,105,8M 5S
92,107,7M 12S
92,109,5M 56S
95,109,5M 41S
98,109,4M 26S
98,112,4M 8S
98,115,2M 44S
100,115,2M 31S
100,117,2M 12S
100,119,1M 41S
102,119,1M 26S
105,119,46S
105,122,33S
108,122,23S
End of 4th quarter,NA,0S
