Dallas,Golden State,time_rem
34-27,31-31,48M 0S
3,0,47M 37S
5,0,47M 8S
5,2,46M 43S
7,2,46M 29S
7,4,46M 11S
9,4,45M 50S
9,7,45M 33S
11,7,45M 18S
11,8,45M 7S
11,9,45M 7S
11,12,44M 40S
12,12,44M 24S
13,12,44M 24S
16,12,44M 5S
18,12,42M 58S
19,12,41M 50S
20,12,41M 50S
22,12,41M 29S
25,12,41M 0S
28,12,39M 27S
31,12,38M 55S
32,12,38M 21S
33,12,38M 21S
34,12,38M 21S
36,12,36M 36S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
39,12,35M 22S
39,15,35M 0S
42,15,34M 22S
42,16,34M 6S
44,16,33M 48S
47,16,31M 19S
47,18,30M 53S
47,19,30M 31S
47,20,30M 31S
48,20,30M 14S
48,21,28M 59S
51,21,28M 46S
51,23,28M 6S
51,25,27M 38S
53,25,27M 15S
53,26,26M 3S
53,27,26M 3S
55,27,25M 46S
56,27,25M 46S
58,27,25M 18S
59,27,24M 53S
60,27,24M 53S
60,28,24M 38S
60,29,24M 38S
62,29,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
62,32,23M 48S
64,32,22M 58S
64,34,22M 45S
66,34,22M 36S
67,34,22M 36S
67,37,22M 28S
70,37,22M 4S
71,37,22M 4S
71,39,21M 28S
73,39,21M 17S
74,39,21M 17S
74,42,21M 6S
76,42,20M 43S
76,44,20M 19S
76,45,19M 59S
76,46,19M 59S
78,46,19M 42S
80,46,19M 4S
80,47,18M 49S
80,48,18M 49S
83,48,18M 32S
83,50,18M 3S
83,51,17M 46S
83,52,17M 46S
83,55,17M 15S
85,55,16M 57S
88,55,16M 33S
88,58,16M 11S
91,58,15M 54S
91,60,15M 16S
91,63,14M 46S
91,64,14M 31S
93,64,14M 1S
95,64,13M 45S
98,64,13M 27S
101,64,12M 40S
103,64,12M 5S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
105,64,11M 38S
105,66,11M 23S
106,66,11M 3S
107,66,11M 3S
107,68,10M 49S
110,68,10M 38S
111,68,10M 6S
111,71,8M 59S
111,74,7M 49S
111,76,7M 22S
114,76,7M 6S
114,79,6M 53S
116,79,6M 31S
117,79,6M 31S
117,82,5M 50S
119,82,5M 32S
119,84,4M 54S
119,87,4M 33S
121,87,4M 4S
123,87,3M 50S
123,90,3M 40S
123,92,3M 2S
125,92,2M 49S
125,93,2M 39S
125,94,2M 39S
125,96,2M 34S
125,99,1M 45S
128,99,1M 30S
128,101,38S
130,101,27S
132,101,13S
133,101,13S
133,103,8S
End of 4th quarter,NA,0S
