Atlanta,Philadelphia,time_rem
34-29,41-21,48M 0S
0,0,47M 34S
0,3,47M 29S
2,3,47M 7S
3,3,46M 36S
3,5,46M 24S
3,7,45M 23S
3,9,44M 23S
5,9,44M 9S
5,11,43M 55S
6,11,43M 14S
7,11,43M 14S
9,11,42M 46S
9,13,42M 4S
9,15,41M 39S
9,18,41M 20S
9,21,41M 3S
9,23,40M 20S
11,23,40M 3S
13,23,39M 2S
13,26,38M 55S
13,29,38M 36S
14,29,38M 17S
15,29,38M 17S
15,31,38M 2S
15,33,37M 21S
15,35,36M 57S
17,35,36M 35S
17,37,36M 28S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
17,40,35M 20S
18,40,35M 5S
19,40,35M 5S
21,40,34M 36S
21,42,34M 23S
22,42,33M 38S
24,42,32M 28S
24,44,32M 7S
24,46,31M 45S
25,46,31M 27S
26,46,31M 27S
26,49,31M 5S
26,51,29M 52S
27,51,29M 33S
28,51,29M 33S
30,51,29M 7S
30,53,28M 28S
30,55,27M 59S
32,55,27M 37S
32,57,27M 16S
32,59,26M 47S
34,59,26M 10S
34,61,26M 0S
37,61,25M 47S
37,63,25M 25S
37,64,25M 4S
37,65,25M 4S
39,65,24M 29S
39,67,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
40,67,23M 52S
41,67,23M 52S
43,67,23M 4S
43,69,22M 52S
46,69,22M 19S
46,72,22M 4S
46,73,21M 30S
46,74,21M 30S
48,74,21M 6S
48,76,20M 25S
48,78,19M 56S
51,78,19M 7S
53,78,18M 30S
53,79,18M 13S
53,80,18M 13S
54,80,17M 22S
55,80,17M 22S
56,80,16M 59S
56,83,16M 1S
58,83,15M 45S
58,85,15M 20S
59,85,15M 0S
60,85,15M 0S
60,88,14M 10S
60,89,13M 46S
60,90,13M 46S
60,91,13M 14S
63,91,12M 48S
63,92,12M 8S
63,93,12M 8S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
63,96,11M 50S
66,96,11M 34S
68,96,10M 8S
68,98,9M 46S
70,98,9M 31S
70,100,8M 15S
70,101,8M 15S
70,102,8M 14S
70,105,7M 47S
72,105,7M 5S
72,108,6M 46S
75,108,6M 18S
75,110,6M 1S
76,110,5M 31S
77,110,5M 31S
77,112,5M 15S
77,115,4M 12S
77,116,3M 16S
77,117,3M 16S
79,117,3M 1S
79,119,2M 42S
79,121,2M 4S
79,124,1M 33S
80,124,1M 5S
81,124,1M 5S
81,127,54S
83,127,37S
End of 4th quarter,NA,0S
