Memphis,Cleveland,time_rem
4-6,5-6,48M 0S
0,2,47M 42S
2,2,46M 44S
2,4,46M 30S
2,6,46M 7S
3,6,45M 47S
3,9,45M 26S
3,11,44M 52S
5,11,44M 34S
6,11,44M 0S
6,14,43M 51S
8,14,43M 29S
8,17,43M 16S
9,17,42M 27S
10,17,42M 27S
10,19,41M 13S
12,19,40M 58S
14,19,40M 25S
14,21,40M 2S
16,21,39M 48S
16,23,39M 14S
18,23,39M 1S
20,23,38M 9S
22,23,37M 45S
23,23,37M 10S
23,25,36M 54S
24,25,36M 42S
24,27,36M 34S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,27,35M 46S
29,27,35M 27S
29,30,34M 35S
31,30,33M 55S
31,31,33M 46S
31,32,33M 46S
31,34,32M 48S
33,34,32M 30S
33,37,32M 5S
33,40,29M 59S
35,40,29M 45S
37,40,29M 1S
37,42,28M 45S
39,42,28M 33S
39,44,27M 39S
40,44,26M 55S
41,44,26M 55S
43,44,26M 18S
43,46,25M 46S
45,46,25M 32S
47,46,25M 6S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
47,48,23M 19S
49,48,23M 10S
49,50,22M 51S
51,50,22M 37S
54,50,22M 19S
56,50,21M 39S
56,52,20M 46S
58,52,20M 16S
61,52,19M 10S
61,53,18M 39S
63,53,18M 21S
65,53,17M 53S
65,55,17M 35S
67,55,17M 21S
67,57,17M 7S
69,57,16M 54S
71,57,16M 15S
73,57,15M 44S
73,60,15M 27S
73,62,14M 45S
75,62,14M 8S
75,65,13M 18S
75,67,13M 3S
75,68,13M 3S
77,68,12M 48S
77,71,12M 37S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
77,74,11M 45S
77,76,9M 40S
79,76,9M 21S
81,76,8M 55S
81,79,8M 39S
Jump ball: C. Osman vs. D. Bane (L. Nance gains possession),NA,8M 7S
81,81,7M 41S
81,82,7M 10S
81,84,6M 43S
82,84,6M 35S
83,84,6M 35S
83,86,6M 19S
84,86,6M 1S
86,86,5M 19S
89,86,4M 44S
89,88,4M 21S
91,88,3M 37S
92,88,3M 37S
Jump ball: A. Drummond vs. B. Clarke (D. Dotson gains possession),NA,2M 13S
92,90,2M 5S
94,90,1M 42S
95,90,1M 15S
96,90,1M 15S
99,90,36S
99,91,31S
100,91,26S
101,91,26S
End of 4th quarter,NA,0S
