Sacramento,Washington,time_rem
16-24,14-25,48M 0S
0,0,47M 43S
0,2,47M 18S
2,2,47M 5S
2,4,46M 49S
4,4,46M 25S
7,4,46M 5S
7,5,45M 57S
7,6,45M 57S
9,6,45M 43S
9,8,45M 23S
9,9,45M 23S
11,9,45M 12S
11,11,45M 4S
12,11,44M 57S
13,11,44M 57S
13,13,44M 46S
15,13,44M 10S
16,13,44M 10S
16,15,43M 42S
19,15,43M 30S
19,17,43M 10S
19,19,42M 50S
20,19,42M 44S
21,19,42M 44S
21,21,42M 28S
22,21,41M 53S
22,22,41M 19S
22,23,41M 19S
22,25,40M 56S
22,27,40M 29S
22,28,40M 29S
25,28,39M 9S
26,28,39M 9S
26,31,38M 57S
27,31,38M 44S
28,31,38M 12S
29,31,38M 12S
31,31,37M 24S
31,33,37M 15S
31,36,36M 48S
34,36,36M 33S
34,38,36M 26S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,40,34M 35S
37,40,34M 3S
40,40,33M 25S
40,42,33M 12S
40,44,32M 47S
42,44,32M 37S
42,46,31M 59S
44,46,31M 41S
44,48,31M 32S
46,48,31M 5S
48,48,30M 41S
48,50,30M 26S
50,50,30M 12S
50,51,30M 5S
50,52,30M 5S
50,54,29M 34S
52,54,28M 20S
52,55,28M 1S
52,56,28M 1S
54,56,27M 40S
54,58,27M 21S
57,58,27M 4S
59,58,26M 37S
59,59,26M 25S
59,60,26M 25S
62,60,26M 9S
62,62,25M 56S
62,64,25M 30S
64,64,25M 12S
64,65,24M 48S
64,66,24M 48S
66,66,24M 38S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
66,68,23M 44S
68,68,22M 27S
70,68,22M 6S
70,70,21M 33S
71,70,21M 24S
72,70,21M 24S
73,70,20M 53S
74,70,20M 53S
77,70,20M 40S
77,72,20M 28S
79,72,20M 9S
79,74,19M 55S
80,74,19M 39S
80,76,19M 22S
82,76,18M 57S
84,76,18M 41S
86,76,18M 13S
86,78,17M 27S
87,78,17M 14S
87,80,16M 55S
89,80,16M 32S
91,80,16M 6S
91,82,15M 36S
91,83,15M 36S
94,83,15M 23S
94,85,15M 7S
94,87,14M 31S
94,89,14M 5S
96,89,13M 19S
96,92,13M 7S
97,92,12M 45S
98,92,12M 45S
98,93,12M 34S
100,93,12M 25S
101,93,12M 1S
102,93,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
102,94,11M 37S
102,95,11M 37S
104,95,11M 8S
104,97,10M 47S
104,98,10M 47S
106,98,10M 9S
108,98,9M 33S
108,100,8M 34S
108,102,6M 18S
109,102,5M 55S
110,102,5M 55S
110,104,5M 38S
110,105,4M 49S
110,107,4M 14S
110,108,4M 14S
111,108,4M 1S
112,108,4M 1S
112,111,3M 2S
113,111,2M 41S
114,111,2M 41S
114,113,2M 17S
116,113,2M 5S
117,113,2M 5S
118,113,1M 46S
119,113,1M 46S
119,114,1M 10S
119,115,1M 10S
119,117,41S
119,119,22S
121,119,1S
End of 4th quarter,NA,0S
