Cleveland,Atlanta,time_rem
4-2,4-2,48M 0S
0,0,47M 36S
2,0,46M 50S
2,3,46M 40S
4,3,46M 17S
4,5,46M 6S
6,5,45M 53S
6,7,45M 44S
8,7,45M 30S
8,10,44M 55S
11,10,44M 43S
11,12,44M 16S
11,15,43M 37S
11,17,42M 47S
13,17,42M 34S
13,18,42M 23S
13,19,42M 23S
15,19,42M 8S
15,20,41M 55S
15,21,41M 55S
15,24,40M 48S
17,24,40M 30S
17,25,39M 53S
17,26,39M 53S
19,26,39M 27S
19,28,39M 19S
19,30,38M 49S
21,30,37M 42S
23,30,37M 6S
23,33,36M 44S
25,33,36M 32S
25,34,36M 26S
25,35,36M 26S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,35,35M 7S
27,37,34M 50S
29,37,33M 58S
29,39,33M 46S
29,40,33M 1S
29,42,32M 39S
30,42,31M 40S
31,42,31M 40S
33,42,31M 0S
33,43,30M 13S
35,43,29M 16S
35,45,28M 40S
36,45,28M 6S
37,45,28M 6S
37,47,27M 29S
39,47,27M 5S
39,49,26M 39S
39,51,26M 4S
41,51,25M 45S
41,53,25M 21S
44,53,24M 57S
44,56,24M 38S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
Jump ball: C. Capela vs. A. Drummond (J. Collins gains possession),NA,23M 22S
44,58,23M 6S
46,58,22M 46S
46,60,22M 31S
48,60,22M 10S
48,62,21M 29S
51,62,21M 13S
52,62,20M 36S
52,65,19M 18S
52,67,18M 31S
54,67,18M 12S
56,67,17M 37S
58,67,16M 57S
58,70,16M 40S
61,70,16M 20S
63,70,14M 49S
64,70,14M 49S
66,70,13M 25S
67,70,12M 58S
67,72,12M 49S
70,72,12M 39S
70,74,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
71,74,10M 35S
73,74,10M 11S
76,74,9M 47S
76,76,9M 27S
76,78,8M 20S
78,78,8M 8S
78,81,7M 11S
80,81,6M 39S
80,83,6M 17S
82,83,6M 2S
84,83,5M 29S
86,83,4M 52S
88,83,2M 0S
88,85,1M 50S
88,88,48S
91,88,27S
92,88,18S
93,88,8S
94,88,8S
94,91,5S
95,91,2S
96,91,2S
End of 4th quarter,NA,0S
