San Antonio,Minnesota,time_rem
5-4,2-7,48M 0S
0,0,47M 38S
3,0,47M 14S
3,2,46M 57S
6,2,46M 0S
6,5,45M 39S
6,7,45M 8S
9,7,44M 52S
10,7,44M 10S
11,7,44M 10S
11,10,43M 45S
11,12,43M 11S
11,14,42M 40S
13,14,42M 1S
13,16,41M 46S
15,16,41M 13S
15,19,40M 54S
15,22,40M 20S
17,22,39M 58S
17,23,39M 44S
19,23,39M 27S
19,26,39M 14S
20,26,38M 58S
20,28,38M 42S
23,28,38M 29S
26,28,38M 8S
26,30,37M 51S
28,30,37M 36S
28,31,36M 32S
28,34,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,36,35M 31S
30,36,35M 0S
30,38,34M 41S
31,38,34M 30S
32,38,34M 30S
33,38,33M 30S
34,38,33M 30S
34,40,33M 3S
37,40,32M 47S
39,40,32M 27S
41,40,31M 49S
41,42,31M 36S
41,44,30M 38S
41,46,29M 57S
43,46,29M 39S
45,46,28M 49S
47,46,28M 18S
48,46,28M 5S
50,46,27M 25S
50,48,27M 8S
52,48,26M 50S
52,49,26M 39S
54,49,26M 22S
55,49,25M 55S
56,49,25M 55S
56,51,25M 42S
56,53,25M 19S
57,53,25M 4S
58,53,25M 4S
58,55,24M 47S
59,55,24M 31S
60,55,24M 31S
60,58,24M 11S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,60,23M 18S
62,60,23M 0S
64,60,22M 35S
66,60,21M 56S
66,62,21M 33S
67,62,21M 19S
67,63,21M 1S
70,63,19M 56S
70,65,19M 35S
70,67,18M 52S
73,67,18M 41S
73,68,18M 24S
73,69,18M 24S
75,69,17M 49S
75,71,17M 34S
75,73,16M 58S
77,73,16M 38S
79,73,16M 13S
79,74,15M 58S
79,75,15M 58S
81,75,15M 26S
83,75,15M 6S
83,77,14M 20S
83,80,13M 46S
83,81,13M 22S
83,82,13M 22S
83,85,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
Jump ball: R. Gay vs. M. Beasley (K. Johnson gains possession),NA,11M 0S
83,88,10M 44S
86,88,10M 26S
89,88,10M 4S
89,90,9M 32S
92,90,8M 39S
92,93,8M 21S
94,93,7M 53S
94,95,7M 39S
94,97,7M 12S
95,97,5M 58S
96,97,5M 58S
96,98,5M 43S
98,98,5M 30S
98,100,5M 6S
99,100,4M 55S
101,100,4M 27S
103,100,3M 54S
103,102,3M 41S
103,105,2M 14S
104,105,1M 56S
104,107,1M 44S
106,107,1M 29S
108,107,55S
109,107,55S
109,110,42S
111,110,28S
111,113,15S
112,113,12S
113,113,12S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: L. Aldridge vs. K. Towns (D. Murray gains possession),NA,5M 0S
116,113,4M 22S
116,115,4M 5S
118,115,3M 43S
118,117,3M 21S
121,117,2M 56S
122,117,2M 19S
123,117,2M 19S
123,119,1M 9S
125,119,46S
125,122,37S
End of 1st overtime,NA,0S
