Phoenix,Charlotte,time_rem
31-14,23-22,48M 0S
3,0,47M 46S
3,3,47M 24S
5,3,46M 59S
5,6,45M 29S
5,9,44M 56S
7,9,44M 33S
7,11,44M 21S
7,13,43M 55S
9,13,43M 24S
11,13,42M 56S
11,14,42M 37S
11,15,42M 37S
13,15,42M 28S
15,15,41M 45S
15,17,41M 20S
17,17,40M 37S
17,19,39M 59S
17,21,39M 21S
17,24,38M 41S
19,24,38M 20S
20,24,38M 20S
20,25,37M 59S
23,25,37M 33S
23,27,36M 53S
26,27,36M 32S
26,29,36M 9S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,31,35M 1S
26,34,34M 36S
28,34,34M 27S
29,34,34M 27S
30,34,33M 44S
31,34,33M 44S
33,34,33M 9S
35,34,32M 49S
37,34,31M 48S
37,36,31M 25S
37,38,30M 55S
39,38,30M 41S
39,40,30M 9S
41,40,29M 3S
41,42,28M 35S
43,42,28M 12S
43,43,27M 26S
44,43,27M 18S
45,43,27M 18S
46,43,26M 27S
46,44,26M 9S
46,45,26M 9S
46,46,26M 9S
49,46,25M 40S
49,49,25M 15S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
51,49,23M 10S
53,49,22M 10S
54,49,21M 28S
55,49,21M 28S
58,49,21M 3S
60,49,20M 37S
60,50,19M 22S
61,50,19M 22S
62,50,19M 22S
63,50,19M 11S
64,50,19M 11S
64,53,18M 29S
64,55,17M 59S
66,55,17M 35S
66,57,17M 11S
67,57,16M 55S
68,57,16M 55S
70,57,16M 27S
70,59,16M 3S
70,60,16M 3S
70,61,15M 33S
72,61,14M 39S
72,62,14M 24S
72,64,13M 54S
72,66,13M 24S
73,66,13M 9S
74,66,13M 9S
74,67,12M 52S
76,67,12M 22S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
79,67,11M 37S
81,67,11M 1S
83,67,10M 14S
83,70,9M 53S
83,72,9M 11S
83,74,8M 31S
83,76,7M 52S
86,76,6M 25S
88,76,5M 59S
88,79,5M 2S
88,82,4M 20S
90,82,3M 20S
90,84,1M 57S
90,87,1M 22S
90,90,34S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: D. Ayton vs. M. Bridges (G. Hayward gains possession),NA,5M 0S
91,90,4M 15S
92,90,4M 15S
92,91,3M 37S
92,92,3M 37S
95,92,3M 9S
96,92,1M 23S
97,92,1M 23S
97,95,45S
98,95,14S
99,95,14S
99,96,8S
99,97,8S
100,97,3S
101,97,3S
End of 1st overtime,NA,0S
