Charlotte,Cleveland,time_rem
0-1,1-0,48M 0S
0,0,47M 43S
0,1,47M 18S
2,1,46M 57S
2,3,46M 8S
2,4,46M 8S
2,6,45M 40S
2,9,45M 4S
4,9,44M 39S
4,11,44M 24S
7,11,43M 13S
7,13,42M 54S
7,14,42M 12S
7,15,42M 12S
9,15,41M 56S
9,17,41M 27S
12,17,41M 13S
15,17,40M 24S
15,19,39M 56S
15,21,39M 24S
17,21,39M 16S
19,21,38M 58S
19,24,38M 35S
21,24,37M 54S
23,24,36M 21S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
23,27,35M 20S
23,29,34M 44S
25,29,34M 35S
25,32,34M 26S
27,32,34M 5S
27,34,33M 16S
29,34,32M 31S
30,34,32M 31S
30,36,32M 15S
30,38,32M 0S
32,38,31M 38S
32,41,31M 26S
34,41,31M 4S
36,41,30M 38S
36,42,30M 26S
36,44,30M 14S
38,44,29M 59S
40,44,29M 25S
40,46,29M 2S
40,47,29M 2S
40,49,28M 37S
40,51,27M 39S
40,52,27M 17S
40,53,27M 17S
40,55,26M 49S
40,57,26M 26S
41,57,26M 10S
42,57,26M 10S
42,59,25M 54S
44,59,25M 38S
44,61,25M 25S
44,63,24M 54S
44,65,24M 6S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
Jump ball: C. Sexton vs. P. Washington (A. Drummond gains possession),NA,23M 42S
46,65,23M 21S
46,66,22M 59S
46,67,22M 59S
46,70,22M 32S
49,70,22M 12S
51,70,21M 51S
51,72,21M 36S
54,72,20M 57S
54,75,20M 44S
57,75,20M 1S
59,75,19M 17S
59,77,18M 56S
62,77,18M 40S
62,79,18M 5S
65,79,17M 44S
68,79,17M 19S
70,79,16M 32S
71,79,16M 32S
71,82,16M 16S
74,82,15M 44S
74,85,15M 17S
75,85,15M 12S
75,87,14M 34S
78,87,14M 11S
78,90,14M 5S
80,90,12M 50S
80,91,12M 41S
80,93,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
80,95,11M 21S
80,97,10M 50S
83,97,10M 36S
85,97,10M 4S
85,100,9M 15S
Jump ball: A. Drummond vs. C. Zeller (D. Garland gains possession),NA,9M 3S
85,102,8M 38S
88,102,8M 13S
90,102,6M 50S
91,102,6M 50S
91,105,6M 37S
91,108,6M 6S
93,108,5M 23S
93,110,5M 7S
95,110,4M 51S
95,111,4M 25S
95,112,4M 25S
97,112,4M 15S
97,114,4M 3S
98,114,3M 53S
99,114,3M 53S
99,117,3M 32S
101,117,3M 24S
103,117,3M 6S
105,117,2M 10S
108,117,1M 19S
108,119,58S
111,119,31S
114,119,10S
114,120,8S
114,121,8S
End of 4th quarter,NA,0S
