San Antonio,Cleveland,time_rem
22-16,15-26,48M 0S
0,0,47M 45S
2,0,47M 25S
5,0,47M 3S
7,0,46M 24S
7,3,45M 52S
8,3,45M 1S
9,3,45M 1S
11,3,44M 23S
12,3,44M 23S
12,6,44M 7S
12,8,43M 39S
14,8,43M 6S
16,8,42M 42S
16,10,42M 27S
16,13,42M 2S
19,13,41M 30S
20,13,41M 1S
21,13,41M 1S
21,14,40M 42S
23,14,40M 24S
23,16,40M 13S
23,18,39M 50S
25,18,39M 31S
25,20,37M 45S
25,22,36M 18S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,24,35M 37S
27,24,35M 11S
29,24,34M 14S
29,25,34M 4S
31,25,33M 48S
33,25,33M 23S
34,25,33M 23S
36,25,32M 47S
38,25,32M 25S
40,25,30M 44S
40,26,30M 23S
40,27,30M 23S
40,29,29M 33S
40,31,28M 48S
42,31,28M 34S
42,33,28M 13S
44,33,27M 54S
44,34,27M 22S
44,35,27M 22S
47,35,27M 4S
47,38,26M 41S
49,38,25M 49S
51,38,24M 59S
52,38,24M 59S
52,40,24M 55S
54,40,24M 33S
54,42,24M 22S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,44,23M 6S
56,44,22M 28S
57,44,21M 55S
58,44,21M 55S
59,44,21M 27S
60,44,21M 27S
60,46,21M 16S
62,46,20M 58S
64,46,20M 28S
64,48,20M 3S
65,48,19M 27S
66,48,19M 27S
67,48,19M 27S
69,48,18M 7S
69,51,17M 57S
69,52,16M 53S
69,53,16M 53S
72,53,16M 13S
75,53,15M 46S
75,55,14M 44S
75,57,14M 5S
77,57,13M 25S
77,58,13M 16S
77,59,13M 16S
78,59,13M 1S
79,59,13M 1S
80,59,13M 1S
80,61,12M 52S
80,62,12M 52S
81,62,12M 41S
81,63,12M 30S
81,64,12M 30S
81,65,12M 17S
81,66,12M 17S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
81,68,11M 37S
84,68,11M 17S
84,70,10M 50S
84,72,9M 10S
84,74,8M 41S
86,74,8M 21S
88,74,8M 1S
88,75,7M 40S
90,75,7M 23S
91,75,7M 23S
91,77,7M 1S
92,77,6M 50S
93,77,6M 50S
93,79,6M 37S
93,81,6M 3S
93,83,5M 24S
94,83,5M 6S
94,84,4M 56S
96,84,4M 38S
96,85,4M 20S
96,86,4M 20S
96,87,4M 20S
98,87,3M 57S
98,90,3M 13S
100,90,2M 50S
100,92,2M 37S
102,92,2M 14S
105,92,2M 1S
Jump ball: L. Nance vs. J. Poeltl (C. Sexton gains possession),NA,1M 48S
105,93,1M 44S
105,94,1M 44S
107,94,1M 27S
107,95,1M 23S
107,97,1M 15S
109,97,1M 3S
109,98,58S
109,99,58S
109,101,47S
109,103,42S
110,103,39S
111,103,39S
111,105,38S
113,105,22S
113,107,16S
114,107,13S
114,110,8S
115,110,6S
116,110,6S
End of 4th quarter,NA,0S
