Chicago,Detroit,time_rem
19-22,12-30,48M 0S
2,0,47M 53S
2,2,46M 28S
2,4,45M 58S
4,4,45M 37S
6,4,45M 7S
6,6,44M 33S
6,7,44M 33S
6,9,43M 58S
6,10,43M 58S
6,12,43M 34S
7,12,43M 21S
8,12,43M 21S
8,14,43M 12S
11,14,42M 56S
13,14,41M 51S
13,17,41M 31S
13,18,40M 7S
13,19,40M 7S
14,19,39M 50S
15,19,39M 50S
17,19,39M 26S
17,21,38M 42S
17,23,38M 7S
20,23,36M 49S
20,25,36M 33S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
20,28,35M 46S
23,28,34M 59S
23,29,34M 44S
23,31,33M 42S
26,31,33M 20S
29,31,32M 42S
29,33,32M 14S
29,35,31M 31S
31,35,31M 1S
31,37,30M 26S
33,37,29M 23S
35,37,28M 57S
35,39,28M 37S
35,41,28M 15S
38,41,27M 21S
38,42,27M 4S
38,43,27M 4S
40,43,26M 24S
41,43,25M 55S
42,43,25M 55S
42,45,25M 41S
44,45,25M 0S
46,45,24M 32S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
48,45,23M 41S
48,46,23M 27S
50,46,23M 3S
52,46,22M 46S
52,48,22M 26S
54,48,22M 14S
54,50,21M 33S
54,51,21M 33S
56,51,21M 21S
58,51,20M 52S
58,54,20M 28S
59,54,20M 14S
60,54,20M 14S
63,54,19M 18S
65,54,19M 1S
65,56,18M 40S
67,56,17M 24S
67,57,16M 33S
67,58,16M 33S
70,58,15M 53S
70,59,15M 26S
71,59,15M 13S
72,59,15M 13S
72,61,14M 36S
72,62,14M 11S
72,63,14M 11S
75,63,13M 56S
75,65,12M 27S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
78,65,11M 50S
78,67,11M 22S
78,69,10M 58S
81,69,10M 12S
83,69,9M 44S
86,69,8M 44S
86,71,8M 26S
87,71,7M 41S
90,71,6M 51S
90,73,6M 32S
90,74,6M 32S
90,75,6M 3S
90,77,5M 41S
92,77,5M 23S
92,79,4M 23S
94,79,3M 46S
95,79,3M 46S
95,80,3M 24S
98,80,3M 10S
100,80,2M 29S
100,82,2M 13S
100,83,59S
100,86,0S
End of 4th quarter,NA,0S
