Minnesota,Denver,time_rem
2-5,3-4,48M 0S
0,0,47M 45S
0,1,47M 42S
0,2,47M 42S
0,4,47M 19S
2,4,46M 29S
2,6,46M 8S
5,6,45M 51S
5,7,45M 31S
5,8,45M 31S
5,10,45M 13S
8,10,45M 5S
8,11,44M 46S
8,12,44M 46S
10,12,44M 35S
10,15,44M 13S
10,17,43M 42S
10,19,43M 29S
12,19,42M 14S
12,21,42M 1S
12,23,41M 37S
13,23,41M 24S
13,25,41M 4S
Jump ball: G. Harris vs. N. Reid (N. Jokić gains possession),NA,40M 42S
13,28,40M 38S
15,28,39M 55S
15,30,39M 29S
15,31,39M 13S
17,31,38M 52S
18,31,38M 52S
19,31,37M 15S
20,31,37M 15S
20,32,36M 54S
21,32,36M 31S
22,32,36M 31S
22,34,36M 18S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
24,34,35M 22S
24,37,34M 41S
24,39,34M 17S
26,39,33M 49S
27,39,33M 49S
27,40,33M 35S
29,40,33M 21S
29,43,33M 10S
29,44,32M 48S
29,45,32M 48S
30,45,32M 35S
31,45,32M 35S
31,47,31M 45S
31,49,31M 30S
33,49,31M 6S
35,49,30M 38S
35,51,29M 50S
38,51,29M 44S
38,53,29M 35S
40,53,29M 19S
42,53,29M 3S
42,55,28M 47S
45,55,28M 30S
48,55,28M 6S
48,57,27M 44S
49,57,27M 44S
52,57,27M 32S
52,58,27M 20S
52,59,27M 20S
55,59,26M 36S
56,59,26M 32S
58,59,26M 17S
59,59,25M 52S
60,59,25M 52S
61,59,25M 37S
63,59,25M 7S
63,60,24M 43S
63,61,24M 43S
63,62,24M 25S
64,62,24M 8S
65,62,24M 8S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
65,63,23M 48S
65,64,23M 48S
67,64,23M 31S
70,64,22M 55S
70,66,22M 41S
72,66,22M 19S
72,68,22M 4S
74,68,21M 52S
76,68,21M 13S
76,70,20M 56S
78,70,20M 37S
78,73,19M 49S
78,74,19M 17S
78,75,19M 17S
80,75,18M 59S
80,76,18M 47S
82,76,18M 12S
82,78,17M 51S
82,80,17M 18S
85,80,16M 55S
85,82,16M 41S
87,82,16M 2S
87,83,15M 21S
87,84,15M 20S
87,85,15M 20S
87,87,14M 37S
89,87,14M 19S
89,90,14M 2S
91,90,13M 42S
93,90,13M 0S
96,90,12M 30S
96,93,12M 24S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
98,93,11M 42S
100,93,11M 24S
100,95,11M 6S
100,97,10M 32S
100,100,10M 8S
100,102,8M 21S
100,104,8M 3S
100,105,8M 3S
100,106,7M 40S
100,108,7M 4S
102,108,6M 6S
102,109,5M 24S
102,110,5M 24S
104,110,4M 31S
104,111,4M 30S
106,111,4M 16S
106,113,3M 53S
108,113,3M 15S
108,114,2M 25S
108,115,2M 25S
109,115,2M 12S
110,115,2M 12S
110,117,1M 57S
110,119,1M 44S
110,121,1M 23S
111,121,43S
112,121,43S
112,122,35S
112,123,35S
115,123,29S
116,123,29S
End of 4th quarter,NA,0S
