Washington,LA Lakers,time_rem
11-17,22-10,48M 0S
0,0,47M 42S
2,0,47M 18S
2,3,47M 9S
4,3,46M 55S
5,3,46M 38S
5,6,46M 28S
5,7,46M 28S
7,7,46M 18S
7,9,45M 41S
7,11,45M 25S
8,11,45M 12S
10,11,44M 23S
10,13,44M 2S
12,13,43M 39S
14,13,42M 39S
14,15,42M 3S
16,15,41M 54S
16,17,41M 33S
16,18,41M 33S
18,18,40M 30S
18,21,40M 19S
18,23,39M 48S
21,23,39M 41S
21,24,38M 36S
21,25,38M 36S
21,27,38M 11S
23,27,37M 36S
23,29,37M 23S
23,31,37M 5S
23,33,36M 22S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
23,35,35M 12S
25,35,34M 24S
26,35,34M 24S
26,37,34M 1S
26,40,33M 13S
28,40,32M 48S
28,43,32M 27S
30,43,32M 2S
32,43,31M 45S
32,45,31M 24S
34,45,30M 40S
34,48,30M 21S
34,50,29M 54S
35,50,29M 38S
36,50,29M 38S
36,52,29M 21S
37,52,29M 11S
38,52,29M 11S
40,52,28M 37S
42,52,28M 9S
42,53,27M 49S
45,53,27M 36S
45,56,26M 56S
45,58,26M 23S
47,58,25M 26S
47,61,25M 15S
48,61,25M 2S
48,63,24M 33S
49,63,24M 28S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
51,63,23M 46S
51,65,23M 34S
53,65,23M 15S
53,67,22M 51S
53,70,21M 25S
56,70,20M 57S
58,70,19M 44S
60,70,19M 12S
60,72,18M 40S
60,75,18M 9S
63,75,17M 46S
65,75,16M 54S
67,75,16M 18S
67,77,15M 57S
69,77,15M 42S
70,77,15M 42S
70,79,15M 5S
71,79,14M 49S
72,79,14M 49S
73,79,14M 31S
74,79,14M 31S
75,79,14M 21S
76,79,14M 21S
76,81,13M 52S
76,82,13M 52S
78,82,13M 38S
78,84,13M 25S
80,84,12M 33S
80,86,12M 12S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,86,11M 31S
82,88,11M 14S
84,88,10M 55S
87,88,10M 31S
Jump ball: R. Lopez vs. A. Caruso (R. Westbrook gains possession),NA,10M 11S
90,88,10M 6S
90,90,9M 55S
90,92,9M 15S
92,92,8M 16S
92,93,7M 52S
92,94,7M 52S
94,94,7M 31S
96,94,6M 46S
97,94,6M 46S
99,94,5M 53S
102,94,4M 52S
102,97,4M 38S
103,97,4M 19S
104,97,4M 19S
104,99,4M 5S
104,100,4M 5S
104,102,3M 23S
105,102,3M 11S
106,102,3M 11S
106,105,2M 49S
109,105,2M 35S
109,108,1M 53S
110,108,1M 30S
111,108,1M 30S
111,111,1M 8S
114,111,51S
Jump ball: A. Caruso vs. D. Avdija (K. Caldwell,Pope gains possession),24S
114,113,16S
115,113,15S
115,115,9S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: R. Lopez vs. M. Gasol (L. James gains possession),NA,5M 0S
117,115,4M 28S
117,117,3M 49S
119,117,3M 27S
121,117,1M 59S
121,118,1M 41S
121,119,1M 41S
123,119,1M 24S
123,121,1M 6S
125,121,42S
125,124,36S
127,124,11S
End of 1st overtime,NA,0S
