Detroit,Miami,time_rem
3-10,5-7,48M 0S
0,2,47M 43S
3,2,47M 5S
5,2,46M 28S
7,2,45M 45S
9,2,45M 9S
10,2,45M 9S
12,2,44M 38S
12,4,43M 56S
15,4,43M 35S
15,7,43M 6S
17,7,42M 56S
17,9,42M 41S
19,9,42M 22S
22,9,42M 0S
25,9,41M 31S
28,9,40M 59S
28,10,40M 42S
28,11,40M 42S
30,11,40M 24S
30,13,40M 8S
32,13,39M 55S
32,15,39M 18S
32,17,38M 53S
32,20,38M 24S
32,22,37M 28S
34,22,37M 19S
36,22,36M 52S
36,24,36M 14S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,27,35M 18S
36,30,34M 53S
38,30,34M 25S
38,32,34M 9S
41,32,33M 44S
41,35,33M 28S
44,35,32M 49S
46,35,32M 25S
46,37,32M 15S
48,37,31M 53S
48,39,31M 13S
48,42,30M 29S
48,44,29M 24S
48,47,28M 57S
50,47,28M 41S
51,47,28M 41S
51,49,28M 29S
51,51,27M 5S
51,53,26M 24S
52,53,26M 10S
53,53,26M 10S
54,53,26M 10S
55,53,25M 29S
56,53,25M 29S
59,53,24M 31S
59,54,24M 17S
59,55,24M 17S
60,55,24M 2S
61,55,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,57,23M 40S
61,58,23M 40S
64,58,22M 34S
64,60,22M 14S
65,60,21M 48S
66,60,21M 48S
66,63,21M 20S
66,65,20M 32S
68,65,20M 8S
68,68,19M 34S
70,68,18M 47S
70,70,18M 37S
70,73,18M 3S
70,75,17M 4S
70,77,16M 25S
72,77,16M 11S
72,79,15M 11S
75,79,14M 53S
75,81,14M 43S
76,81,14M 24S
77,81,14M 24S
Jump ball: J. Grant vs. P. Achiuwa (P. Achiuwa gains possession),NA,14M 3S
78,81,13M 51S
78,83,13M 35S
80,83,13M 15S
80,86,12M 53S
80,87,12M 2S
80,88,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
80,90,11M 25S
80,92,10M 57S
82,92,10M 39S
85,92,9M 9S
87,92,8M 22S
87,94,8M 10S
90,94,7M 51S
90,96,7M 10S
90,98,6M 7S
92,98,5M 49S
93,98,5M 25S
94,98,5M 25S
94,101,5M 0S
96,101,4M 48S
96,103,4M 17S
98,103,3M 30S
98,104,3M 17S
98,105,3M 17S
98,106,2M 55S
100,106,2M 4S
103,106,1M 43S
103,107,1M 22S
103,108,1M 22S
105,108,1M 1S
105,110,45S
105,111,23S
106,111,18S
107,111,18S
107,112,16S
107,113,16S
End of 4th quarter,NA,0S
