Cleveland,New York,time_rem
9-10,9-11,48M 0S
0,0,47M 38S
2,0,46M 34S
4,0,44M 35S
4,3,44M 1S
7,3,43M 35S
9,3,43M 5S
11,3,42M 44S
13,3,41M 25S
13,5,41M 11S
13,7,40M 5S
13,10,39M 34S
15,10,39M 17S
15,12,38M 56S
15,14,38M 1S
15,16,37M 27S
16,16,36M 38S
17,16,36M 38S
17,19,36M 25S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
19,19,34M 58S
22,19,34M 19S
24,19,33M 51S
24,21,33M 8S
24,22,32M 47S
24,23,32M 47S
26,23,31M 34S
26,24,31M 15S
26,25,31M 15S
26,27,30M 29S
26,30,29M 50S
28,30,29M 39S
28,32,29M 21S
29,32,28M 9S
29,34,27M 50S
29,36,27M 18S
31,36,26M 58S
31,38,26M 44S
32,38,26M 24S
33,38,26M 24S
33,40,26M 1S
33,42,25M 15S
33,44,24M 52S
Jump ball: E. Payton vs. D. Garland (A. Burks gains possession),NA,24M 39S
33,47,24M 21S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
35,47,23M 44S
38,47,23M 17S
38,50,22M 32S
40,50,22M 19S
42,50,20M 51S
45,50,19M 37S
45,52,19M 14S
47,52,18M 55S
49,52,18M 10S
49,54,17M 47S
49,55,17M 7S
49,56,17M 7S
52,56,16M 27S
52,58,16M 1S
52,59,14M 53S
52,60,14M 53S
54,60,14M 33S
54,61,14M 21S
54,62,14M 21S
54,64,13M 26S
54,66,12M 56S
55,66,12M 39S
55,68,12M 31S
55,69,12M 31S
55,72,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
57,72,11M 41S
57,74,11M 29S
57,77,10M 46S
57,80,10M 14S
60,80,9M 54S
60,82,9M 34S
63,82,9M 16S
65,82,8M 46S
65,84,8M 29S
67,84,8M 8S
68,84,7M 31S
69,84,7M 31S
69,85,7M 20S
69,86,7M 20S
69,88,6M 18S
70,88,6M 3S
71,88,6M 3S
74,88,5M 33S
74,90,5M 6S
75,90,4M 45S
76,90,4M 45S
78,90,4M 14S
78,93,3M 53S
78,94,3M 53S
78,96,3M 18S
79,96,3M 8S
80,96,3M 8S
80,98,2M 47S
80,100,2M 14S
81,100,2M 0S
81,102,1M 39S
End of 4th quarter,NA,0S
