Sacramento,Milwaukee,time_rem
12-18,18-13,48M 0S
2,0,47M 40S
5,0,46M 54S
5,1,46M 34S
5,3,45M 48S
7,3,45M 31S
7,5,44M 44S
7,7,44M 31S
7,8,43M 58S
10,8,43M 49S
12,8,43M 24S
12,10,43M 5S
12,12,42M 36S
12,15,42M 0S
13,15,41M 51S
14,15,41M 51S
16,15,41M 17S
16,16,40M 47S
16,17,40M 47S
16,20,40M 3S
18,20,39M 51S
18,23,39M 38S
19,23,39M 31S
19,24,39M 16S
19,25,39M 16S
21,25,38M 46S
23,25,37M 58S
23,28,36M 46S
25,28,36M 30S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,30,35M 44S
27,30,35M 28S
27,31,34M 55S
27,32,34M 55S
27,34,34M 36S
29,34,34M 20S
29,35,33M 58S
29,36,33M 58S
31,36,33M 46S
31,39,33M 37S
33,39,33M 8S
33,41,32M 56S
35,41,32M 51S
35,43,32M 38S
37,43,31M 50S
37,46,31M 44S
38,46,31M 25S
39,46,31M 25S
39,47,31M 1S
39,49,30M 42S
39,50,30M 42S
39,52,30M 20S
41,52,30M 13S
41,54,29M 57S
41,55,29M 37S
41,56,29M 37S
41,58,29M 10S
43,58,28M 10S
43,60,27M 53S
46,60,27M 42S
46,62,27M 29S
47,62,27M 13S
48,62,27M 13S
48,64,26M 58S
49,64,26M 43S
50,64,26M 43S
53,64,26M 21S
56,64,25M 54S
56,65,25M 7S
56,66,25M 7S
56,67,24M 25S
56,68,24M 25S
56,70,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,73,23M 36S
56,75,23M 10S
56,78,22M 27S
58,78,21M 59S
58,80,21M 42S
59,80,21M 33S
59,82,21M 13S
62,82,20M 55S
64,82,20M 28S
64,83,19M 32S
64,84,19M 32S
65,84,19M 23S
66,84,19M 23S
67,84,19M 23S
67,86,18M 41S
69,86,18M 33S
70,86,18M 33S
72,86,17M 35S
72,88,17M 12S
73,88,15M 36S
73,90,15M 26S
Jump ball: P. Connaughton vs. R. Holmes (T. Antetokounmpo gains possession),NA,15M 7S
73,92,15M 4S
73,95,14M 38S
75,95,14M 10S
78,95,13M 49S
80,95,13M 19S
80,97,12M 57S
82,97,12M 44S
82,99,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
84,99,11M 45S
86,99,11M 6S
86,101,10M 41S
89,101,10M 21S
89,102,10M 13S
89,103,10M 13S
89,104,10M 13S
89,106,9M 38S
91,106,9M 22S
91,108,9M 10S
93,108,8M 52S
93,110,8M 39S
93,112,7M 31S
96,112,7M 22S
96,113,6M 51S
98,113,6M 12S
98,115,5M 52S
98,116,5M 52S
98,119,5M 20S
101,119,4M 19S
103,119,3M 46S
103,120,3M 26S
105,120,3M 15S
105,121,3M 9S
105,123,2M 40S
105,124,2M 40S
107,124,2M 25S
107,125,2M 16S
109,125,2M 1S
112,125,1M 28S
112,128,1M 21S
Jump ball: B. Portis vs. T. Haliburton (P. Connaughton gains possession),NA,55S
115,128,32S
End of 4th quarter,NA,0S
