Oklahoma City,Detroit,time_rem
20-36,17-39,48M 0S
0,0,47M 44S
2,0,47M 33S
2,1,47M 16S
2,2,47M 16S
2,4,46M 50S
3,4,46M 14S
3,6,45M 59S
5,6,45M 20S
6,6,44M 54S
8,6,44M 3S
10,6,43M 26S
10,9,42M 54S
12,9,42M 35S
12,11,42M 13S
12,13,41M 57S
14,13,41M 40S
16,13,41M 24S
19,13,39M 58S
19,15,39M 29S
21,15,39M 14S
21,16,39M 6S
21,17,38M 47S
21,18,38M 47S
23,18,38M 35S
23,20,38M 19S
25,20,37M 58S
27,20,37M 36S
29,20,37M 14S
29,23,37M 0S
31,23,36M 46S
32,23,36M 30S
32,24,36M 16S
32,25,36M 16S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,28,35M 17S
34,28,35M 3S
37,28,34M 43S
37,29,33M 52S
39,29,33M 41S
40,29,33M 9S
41,29,33M 9S
43,29,32M 33S
44,29,32M 33S
44,31,32M 21S
46,31,31M 10S
46,33,30M 34S
46,34,30M 20S
46,35,30M 20S
48,35,29M 55S
48,37,29M 35S
48,40,28M 35S
48,42,28M 11S
50,42,27M 52S
50,45,27M 8S
50,47,26M 39S
51,47,26M 27S
52,47,26M 27S
Jump ball: I. Stewart vs. I. Roby (S. Doumbouya gains possession),NA,26M 6S
52,49,26M 3S
54,49,25M 52S
54,50,25M 46S
54,51,25M 46S
56,51,25M 30S
56,52,24M 46S
56,53,24M 46S
56,56,24M 29S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,56,23M 40S
57,58,23M 23S
57,60,22M 47S
57,62,21M 25S
59,62,21M 5S
60,62,21M 5S
60,64,20M 48S
61,64,20M 15S
62,64,20M 15S
62,67,19M 28S
62,69,19M 8S
64,69,18M 52S
66,69,18M 19S
66,72,18M 3S
66,75,17M 30S
69,75,16M 55S
69,77,16M 39S
69,78,16M 39S
71,78,16M 22S
73,78,15M 22S
73,80,15M 8S
73,82,14M 9S
73,84,13M 11S
75,84,12M 58S
77,84,12M 41S
77,86,12M 26S
78,86,12M 3S
79,86,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
81,86,11M 2S
81,88,10M 43S
82,88,10M 22S
82,91,9M 57S
82,93,9M 16S
85,93,9M 5S
85,94,8M 49S
87,94,8M 30S
87,95,7M 38S
89,95,7M 5S
92,95,6M 30S
94,95,4M 37S
94,97,3M 51S
94,98,3M 10S
94,99,3M 10S
94,101,2M 32S
94,103,1M 40S
95,103,1M 31S
Jump ball: T. Maledon vs. K. Hayes (T. Bradley gains possession),NA,1M 14S
95,105,47S
96,105,44S
97,105,44S
97,106,30S
97,107,30S
100,107,25S
101,107,25S
101,108,23S
104,108,10S
104,109,8S
104,110,8S
End of 4th quarter,NA,0S
