Miami,Atlanta,time_rem
31-29,33-27,48M 0S
0,2,47M 41S
0,5,47M 1S
2,5,46M 44S
4,5,46M 21S
4,7,45M 40S
7,7,44M 47S
8,7,44M 21S
9,7,44M 21S
12,7,43M 54S
12,10,43M 36S
15,10,42M 55S
15,13,42M 41S
16,13,42M 25S
16,15,42M 13S
19,15,41M 51S
19,17,41M 33S
22,17,41M 15S
22,20,41M 0S
24,20,40M 46S
24,22,40M 23S
26,22,40M 12S
26,24,39M 52S
26,25,39M 31S
28,25,38M 44S
28,27,37M 31S
28,29,37M 3S
30,29,36M 26S
30,31,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,31,35M 36S
32,33,35M 10S
35,33,34M 52S
35,35,34M 41S
35,38,34M 10S
37,38,33M 52S
37,40,33M 37S
39,40,33M 18S
42,40,32M 38S
42,43,32M 25S
42,45,32M 9S
42,46,32M 9S
45,46,31M 35S
45,47,31M 20S
45,48,31M 20S
47,48,30M 53S
47,50,30M 36S
47,51,30M 36S
Jump ball: J. Collins vs. A. Iguodala (L. Williams gains possession),NA,30M 8S
47,54,30M 2S
49,54,29M 16S
51,54,28M 58S
51,55,28M 16S
51,56,28M 16S
53,56,28M 9S
54,56,28M 9S
54,58,27M 19S
57,58,26M 24S
Jump ball: B. Adebayo vs. O. Okongwu (D. Robinson gains possession),NA,25M 58S
59,58,25M 42S
61,58,25M 4S
61,60,24M 39S
61,61,24M 11S
61,62,24M 11S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
64,62,23M 44S
67,62,23M 7S
69,62,22M 7S
69,65,21M 14S
69,68,20M 49S
71,68,20M 11S
71,71,19M 58S
73,71,19M 42S
73,73,19M 0S
73,75,18M 25S
75,75,18M 12S
78,75,17M 30S
78,77,17M 11S
78,79,16M 38S
80,79,16M 21S
80,82,16M 4S
80,85,15M 30S
81,85,14M 59S
82,85,14M 59S
82,86,14M 43S
82,87,14M 43S
84,87,13M 48S
84,89,13M 30S
84,90,13M 30S
86,90,13M 13S
86,93,12M 54S
89,93,12M 9S
89,94,12M 1S
89,95,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
Jump ball: B. Adebayo vs. O. Okongwu (T. Ariza gains possession),NA,11M 37S
89,96,10M 48S
89,98,10M 22S
89,101,9M 45S
89,103,9M 28S
89,105,8M 45S
91,105,8M 31S
92,105,8M 31S
92,107,8M 17S
94,107,7M 32S
94,109,7M 10S
95,109,5M 27S
96,109,5M 27S
97,109,4M 58S
98,109,4M 58S
99,109,3M 50S
100,109,3M 50S
100,111,3M 13S
100,113,2M 1S
101,113,1M 53S
101,114,1M 31S
101,115,1M 31S
103,115,1M 24S
103,118,32S
End of 4th quarter,NA,0S
