Phoenix,Milwaukee,time_rem
41-16,35-22,48M 0S
0,0,47M 41S
2,0,47M 34S
2,2,47M 25S
4,2,46M 55S
4,4,46M 28S
4,5,46M 28S
6,5,45M 38S
6,7,45M 20S
8,7,44M 50S
8,9,44M 9S
10,9,43M 43S
10,11,43M 25S
12,11,43M 11S
12,13,42M 8S
14,13,41M 38S
16,13,41M 21S
16,15,41M 7S
18,15,40M 56S
21,15,40M 29S
21,17,39M 39S
21,20,38M 46S
21,22,38M 0S
24,22,37M 49S
24,25,37M 11S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,25,35M 46S
26,26,35M 35S
26,27,35M 35S
29,27,35M 24S
29,29,34M 59S
32,29,34M 24S
34,29,33M 54S
34,31,33M 23S
34,32,32M 21S
34,34,32M 12S
Jump ball: D. Ayton vs. B. Lopez (T. Craig gains possession),NA,31M 52S
37,34,31M 47S
37,35,31M 39S
37,36,31M 39S
39,36,30M 33S
39,38,30M 17S
42,38,30M 10S
42,40,29M 22S
44,40,28M 59S
44,41,28M 46S
44,42,28M 46S
46,42,28M 19S
46,43,27M 36S
46,44,27M 36S
46,46,27M 16S
48,46,26M 54S
48,48,26M 38S
49,48,26M 23S
50,48,26M 23S
50,50,25M 58S
50,52,25M 8S
53,52,24M 33S
53,54,24M 22S
55,54,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,54,23M 42S
60,54,23M 19S
60,55,23M 7S
60,56,23M 7S
60,58,22M 44S
62,58,22M 11S
62,60,21M 34S
64,60,20M 50S
64,62,20M 39S
64,64,20M 24S
66,64,19M 52S
66,67,19M 34S
66,69,18M 46S
68,69,18M 28S
68,71,18M 12S
70,71,17M 53S
70,73,17M 40S
72,73,17M 27S
72,75,17M 9S
75,75,16M 54S
75,78,16M 33S
78,78,16M 7S
78,81,15M 51S
78,82,14M 55S
78,83,14M 55S
79,83,14M 38S
80,83,14M 38S
80,86,14M 2S
80,88,13M 23S
83,88,13M 8S
83,90,12M 42S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
83,92,11M 38S
85,92,11M 9S
85,93,10M 59S
85,94,10M 59S
87,94,10M 50S
90,94,10M 19S
90,96,10M 0S
90,98,9M 33S
92,98,8M 24S
92,100,8M 9S
95,100,7M 40S
96,100,7M 13S
97,100,7M 13S
97,102,6M 58S
99,102,6M 26S
99,105,6M 7S
102,105,5M 53S
102,107,5M 26S
102,109,4M 49S
104,109,4M 25S
106,109,4M 5S
109,109,2M 55S
Jump ball: D. Ayton vs. G. Antetokounmpo (M. Bridges gains possession),NA,2M 35S
112,109,2M 26S
112,111,2M 12S
114,111,1M 53S
114,112,1M 18S
114,113,1M 18S
114,116,42S
116,116,25S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
118,116,3M 46S
119,116,2M 45S
120,116,2M 45S
122,116,2M 12S
122,119,1M 50S
122,122,1M 17S
124,122,55S
124,124,42S
127,124,25S
127,127,22S
128,127,0S
End of 1st overtime,NA,0S
