Portland,Miami,time_rem
26-18,22-23,48M 0S
0,0,47M 45S
2,0,47M 10S
5,0,46M 44S
5,2,46M 31S
7,2,46M 11S
10,2,45M 43S
10,4,45M 30S
10,7,45M 5S
13,7,44M 41S
13,9,44M 29S
13,11,43M 10S
15,11,42M 48S
16,11,42M 48S
16,14,42M 32S
19,14,42M 15S
19,16,41M 58S
21,16,41M 24S
23,16,40M 36S
23,19,40M 26S
23,21,39M 36S
26,21,38M 18S
29,21,37M 45S
29,23,36M 14S
29,24,36M 14S
31,24,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,27,34M 52S
34,27,34M 13S
34,30,33M 57S
34,32,33M 34S
36,32,33M 15S
36,35,33M 6S
36,37,32M 32S
36,39,31M 50S
36,41,31M 21S
38,41,31M 12S
40,41,30M 43S
42,41,30M 11S
42,43,29M 58S
42,44,29M 33S
42,47,29M 1S
44,47,28M 44S
45,47,28M 27S
46,47,28M 19S
47,47,28M 19S
47,48,28M 11S
47,49,28M 11S
50,49,27M 24S
53,49,26M 41S
53,52,26M 25S
54,52,26M 11S
54,54,25M 59S
57,54,25M 39S
57,56,25M 14S
57,57,24M 54S
57,58,24M 54S
59,58,24M 35S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,60,23M 43S
61,60,23M 19S
61,62,23M 1S
61,64,22M 34S
64,64,21M 59S
64,67,21M 47S
66,67,20M 42S
66,69,20M 5S
66,72,19M 30S
68,72,19M 14S
68,74,18M 57S
70,74,18M 16S
70,76,17M 53S
73,76,17M 39S
73,78,17M 10S
75,78,16M 17S
75,79,16M 6S
75,81,15M 58S
75,82,15M 58S
78,82,15M 46S
81,82,15M 15S
81,83,14M 55S
81,84,14M 55S
83,84,14M 36S
86,84,14M 7S
86,86,13M 40S
86,88,12M 59S
89,88,12M 48S
90,88,12M 13S
91,88,12M 13S
91,91,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
91,93,11M 26S
94,93,11M 4S
97,93,10M 35S
97,96,10M 13S
97,99,8M 49S
100,99,7M 57S
100,102,7M 40S
100,105,7M 15S
100,108,6M 53S
100,109,6M 19S
100,110,6M 19S
102,110,6M 5S
103,110,6M 5S
104,110,5M 39S
105,110,5M 39S
106,110,5M 3S
107,110,5M 3S
109,110,4M 5S
111,110,3M 48S
111,112,3M 35S
111,114,2M 58S
113,114,1M 55S
114,114,1M 55S
114,116,1M 44S
117,116,1M 15S
117,118,57S
119,118,40S
119,120,32S
121,120,13S
122,120,13S
122,122,10S
123,122,1S
124,122,1S
125,122,1S
End of 4th quarter,NA,0S
